
MSI

"Computer Name:","MSI"
"Memory Speed:","2667 MHz"
"Manufacturer:","Samsung"
"Serial Number:","32442BDB"
"Part Number:","M471A2K43CB1-CTD    "
"Asset Tag:","9876543210"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","16384 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","ChannelB-DIMM0"
"Bank Locator:","BANK 2"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2667 MHz"
"Manufacturer:","Samsung"
"Serial Number:","3244304E"
"Part Number:","M471A2K43CB1-CTD    "
"Asset Tag:","9876543210"

Memory Array Mapped Address

"Starting Address:","00000000"
"Ending Address:","01FFFFFF"
"Partition Width:","2"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","00FFFFFF"
"Partition Row Position:","Unknown"
"Interleave Position:","1"
"Interleave Data Depth:","1"

Memory Device Mapped Address

"Starting Address:","01000000"
"Ending Address:","01FFFFFF"
"Partition Row Position:","Unknown"
"Interleave Position:","2"
"Interleave Data Depth:","1"

Port Connectors


Mouse Port

"Port Type:","Mouse Port"
"Internal Reference:","J1A1"
"Internal Connector Type:","None"
"External Reference:","PS2Mouse"
"External Connector Type:","PS/2"

Keyboard Port

"Port Type:","Keyboard Port"
"Internal Reference:","J1A1"
"Internal Connector Type:","None"
"External Reference:","Keyboard"
"External Connector Type:","PS/2"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J2A1"
"Internal Connector Type:","None"
"External Reference:","TV Out"
"External Connector Type:","Mini-Centronics Type-14"

Serial Port 16550A Compatible

"Port Type:","Serial Port 16550A Compatible"
"Internal Reference:","J2A2A"
"Internal Connector Type:","None"
"External Reference:","COM A"
"External Connector Type:","DB-9 pin male"

Video Port

"Port Type:","Video Port"
"Internal Reference:","J2A2B"
"Internal Connector Type:","None"
"External Reference:","Video"
"External Connector Type:","DB-15 pin female"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB1"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB2"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB3"
"External Connector Type:","Access Bus (USB)"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9A1 - TPM HDR"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9C1 - PCIE DOCKING CONN"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J2B3 - CPU FAN"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J6C2 - EXT HDMI"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J3C1 - GMCH FAN"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J1D1 - ITP"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9E2 - MDC INTPSR"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9E4 - MDC INTPSR"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9E3 - LPC HOT DOCKING"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9E1 - SCAN MATRIX"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9G1 - LPC SIDE BAND"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J8F1 - UNIFIED"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J6F1 - LVDS"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J2F1 - LAI FAN"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J2G1 - GFX VID"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J1G6 - AC JACK"
"Internal Connector Type:","Unknown"
"External Reference:","Unknown"
"External Connector Type:","None"

System Slots


J6B2

"Slot Designation:","J6B2"
"Slot Type:","PCI Express"
"Slot Usage:","In use"
"Slot Data Bus Width:","16x / x16"
"Slot Length:","Long"

J6B1

"Slot Designation:","J6B1"
"Slot Type:","PCI Express"
"Slot Usage:","In use"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Short"

J6D1

"Slot Designation:","J6D1"
"Slot Type:","PCI Express"
"Slot Usage:","In use"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Short"

J7B1

"Slot Designation:","J7B1"
"Slot Type:","PCI Express"
"Slot Usage:","In use"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Short"

J8B4

"Slot Designation:","J8B4"
"Slot Type:","PCI Express"
"Slot Usage:","In use"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Short"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Enabled"
"Boot Guard Measured Boot Policy:","Enabled"
"Intel ME Version:","14.0, Build 1061"
"Intel ME Recovery Image Version:","14.0, Build 1061"
"Intel ME FITC Version:","14.0, Build 1061"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Not Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Disabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Enabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Enabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Enabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memory

"Total Memory Size:","32 GBytes"
"Total Memory Size [MB]:","32768"
"Maximum Supported Memory Clock:","1333.3 MHz"
"Current Memory Clock:","665.0 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","10-10-10-28"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","1T"
"Read to Read Delay (tRD_RD) Same Rank:","4T"
"Read to Read Delay (tRD_RD) Different Rank:","4T"
"Read to Read Delay (tRD_RD) Different DIMM:","7T"
"Write to Write Delay (tWR_WR) Same Rank:","4T"
"Write to Write Delay (tWR_WR) Different Rank:","4T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","8T"
"Read to Write Delay (tRD_WR) Different Rank:","8T"
"Read to Write Delay (tRD_WR) Different DIMM:","10T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","19T"
"Write to Read Delay (tWR_RD) Different Rank:","16T"
"Write to Read Delay (tWR_RD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","4T"
"Refresh Cycle Time (tRFC):","234T"
"Four Activate Window (tFAW):","16T"

Row: 0 - 16 GB PC4-21300 DDR4 SDRAM Samsung M471A2K43CB1-CTD

"Module Number:","0"
"Module Size:","16 GBytes"
"Memory Type:","DDR4 SDRAM"
"Module Type:","SO-DIMM"
"Memory Speed:","1333.3 MHz (DDR4-2666 / PC4-21300)"
"Module Manufacturer:","Samsung"
"Module Part Number:","M471A2K43CB1-CTD"
"Module Revision:","0.0"
"Module Serial Number:","3677045810"
"Module Manufacturing Date:","Year: 2019, Week: 21"
"Module Manufacturing Location:","2"
"SDRAM Manufacturer:","Samsung"
"DRAM Steppping:","0.0"
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Module Density:","8192 Mb"
"Number Of Ranks:","2"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Module Nominal Voltage (VDD):","1.2 V"
"Minimum SDRAM Cycle Time (tCKAVGmin):","0.75000 ns"
"Maximum SDRAM Cycle Time (tCKAVGmax):","1.60000 ns"
"CAS# Latencies Supported:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
"Minimum CAS# Latency Time (tAAmin):","13.750 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Supported Module Timing at 1333.3 MHz:","19-19-19-43"
"Supported Module Timing at 1200.0 MHz:","17-17-17-39"
"Supported Module Timing at 1066.7 MHz:","15-15-15-35"
"Supported Module Timing at 933.3 MHz:","13-13-13-30"
"Supported Module Timing at 800.0 MHz:","11-11-11-26"
"Supported Module Timing at 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.000 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Module Temperature Sensor (TSOD):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Mirrored"

Row: 2 - 16 GB PC4-21300 DDR4 SDRAM Samsung M471A2K43CB1-CTD

"Module Number:","2"
"Module Size:","16 GBytes"
"Memory Type:","DDR4 SDRAM"
"Module Type:","SO-DIMM"
"Memory Speed:","1333.3 MHz (DDR4-2666 / PC4-21300)"
"Module Manufacturer:","Samsung"
"Module Part Number:","M471A2K43CB1-CTD"
"Module Revision:","0.0"
"Module Serial Number:","1311786034"
"Module Manufacturing Date:","Year: 2019, Week: 21"
"Module Manufacturing Location:","2"
"SDRAM Manufacturer:","Samsung"
"DRAM Steppping:","0.0"
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Module Density:","8192 Mb"
"Number Of Ranks:","2"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Module Nominal Voltage (VDD):","1.2 V"
"Minimum SDRAM Cycle Time (tCKAVGmin):","0.75000 ns"
"Maximum SDRAM Cycle Time (tCKAVGmax):","1.60000 ns"
"CAS# Latencies Supported:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
"Minimum CAS# Latency Time (tAAmin):","13.750 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Supported Module Timing at 1333.3 MHz:","19-19-19-43"
"Supported Module Timing at 1200.0 MHz:","17-17-17-39"
"Supported Module Timing at 1066.7 MHz:","15-15-15-35"
"Supported Module Timing at 933.3 MHz:","13-13-13-30"
"Supported Module Timing at 800.0 MHz:","11-11-11-26"
"Supported Module Timing at 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.000 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Module Temperature Sensor (TSOD):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Mirrored"

Bus


PCI Bus #0


Intel Comet Lake-U v1 6c - Host Bridge/DRAM Controller

"Device Name:","Intel Comet Lake-U v1 6c - Host Bridge/DRAM Controller"
"Original Device Name:","Intel Comet Lake-U v1 6c - Host Bridge/DRAM Controller"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9B51&SUBSYS_129C1462&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard host CPU bridge"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.267"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_9B51&SUBSYS_129C1462&REV_00\3&11583659&2&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics (Comet Lake-U GT2) - Integrated Graphics Controller [A0]

"Device Name:","Intel UHD Graphics (Comet Lake-U GT2) - Integrated Graphics Controller [A0]"
"Original Device Name:","Intel UHD Graphics (Comet Lake-U GT2) - Integrated Graphics Controller [A0]"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","4 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9BCA&SUBSYS_129C1462&REV_04"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","D3000000"
"Memory Base Address 2","30000000"
"I/O Base Address 4","6000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics"
"Driver Provider:","Intel Corporation"
"Driver Version:","26.20.100.6911"
"Driver Date:","28-May-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_9BCA&SUBSYS_129C1462&REV_04\3&11583659&2&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Comet Lake PCH-LP - Thermal Subsystem [A0]

"Device Name:","Intel Comet Lake PCH-LP - Thermal Subsystem [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - Thermal Subsystem [A0]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:18:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02F9&SUBSYS_129C1462&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","D551E000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Thermal Subsytem - 02F9"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02F9&SUBSYS_129C1462&REV_00\3&11583659&2&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]

"Device Name:","Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]"
"Device Class:","USB xHCI Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02ED&SUBSYS_129C1462&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","D5500000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","19-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02ED&SUBSYS_129C1462&REV_00\3&11583659&2&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : Synaptics WBDI Fingerprint Reader - USB 086

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics WBDI Fingerprint Reader - USB 086"
"Hardware ID:","USB\VID_06CB&PID_009B"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics WBDI Fingerprint Reader - USB 086"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","5.5.5.1086"
"Driver Date:","12-Feb-2018"
"DeviceInstanceId","USB\VID_06CB&PID_009B\E864940034F9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0026"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.10.1.1"
"Driver Date:","17-Apr-2019"
"DeviceInstanceId","USB\VID_8087&PID_0026\5&13132211&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Comet Lake PCH-LP - Shared SRAM [A0]

"Device Name:","Intel Comet Lake PCH-LP - Shared SRAM [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - Shared SRAM [A0]"
"Device Class:","RAM/Memory Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02EF&SUBSYS_72708086&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","D5518000"
"Memory Base Address 2","D551D000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Shared SRAM - 02EF"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02EF&SUBSYS_72708086&REV_00\3&11583659&2&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]

"Device Name:","Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]"
"Device Class:","Other Network Adapter"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:20:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02F0&SUBSYS_00748086&REV_00"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0FC000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wi-Fi 6 AX201 160MHz"
"Driver Provider:","Intel"
"Driver Version:","21.10.2.2"
"Driver Date:","13-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02F0&SUBSYS_00748086&REV_00\3&11583659&2&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

Intel Comet Lake PCH-LP - LPSS: I2C Controller #0 [A0]

"Device Name:","Intel Comet Lake PCH-LP - LPSS: I2C Controller #0 [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - LPSS: I2C Controller #0 [A0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02E8&SUBSYS_129C1462&REV_00"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0F7000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 02E8"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1915.1"
"Driver Date:","08-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02E8&SUBSYS_129C1462&REV_00\3&11583659&2&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Comet Lake PCH-LP - HECI #1 [A0]

"Device Name:","Intel Comet Lake PCH-LP - HECI #1 [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - HECI #1 [A0]"
"Device Class:","Other Communication Device"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02E0&SUBSYS_129C1462&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0F6000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1919.14.0.1269"
"Driver Date:","07-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02E0&SUBSYS_129C1462&REV_00\3&11583659&2&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Comet Lake PCH-LP - PCI Express Root Port #1 [A0/D0]

"Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #1 [A0/D0]"
"Original Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #1 [A0/D0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [A0/D0]"
"PCI Address (Bus:Device:Function) Number:","0:28:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02B8&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #1 - 02B8"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02B8&SUBSYS_129C1462&REV_F0\3&11583659&2&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #1


RealTek Semiconductor RTS5250 PCI-E Card Reader

"Device Name:","RealTek Semiconductor RTS5250 PCI-E Card Reader"
"Original Device Name:","RealTek Semiconductor RTS5250 PCI-E Card Reader"
"Device Class:","Unknown"
"Revision ID:","1"
