
DESKTOP-ABBBSF5

"Computer Name:","DESKTOP-ABBBSF5"
"External Connector Type:","PS/2"

Video Port

"Port Type:","Video Port"
"Internal Reference:","J2A1"
"Internal Connector Type:","None"
"External Reference:","TV OUT"
"External Connector Type:","Mini-DIN"

Video Port

"Port Type:","Video Port"
"Internal Reference:","J2A2"
"Internal Connector Type:","None"
"External Reference:","CRT"
"External Connector Type:","DB-15 pin female"

Serial Port 16550A Compatible

"Port Type:","Serial Port 16550A Compatible"
"Internal Reference:","J2A2"
"Internal Connector Type:","None"
"External Reference:","COM 1"
"External Connector Type:","DB-9 pin male"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A2"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

Network Port

"Port Type:","Network Port"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","Network"
"External Connector Type:","RJ-45"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9G2"
"Internal Connector Type:","On Board Floppy"
"External Reference:","OnBoard Floppy Type"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J7J1"
"Internal Connector Type:","On Board IDE"
"External Reference:","OnBoard Primary IDE"
"External Connector Type:","None"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Microphone In"
"External Connector Type:","Mini-jack (headphones)"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Line In"
"External Connector Type:","Mini-jack (headphones)"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Speaker Out"
"External Connector Type:","Mini-jack (headphones)"

SATA

"Port Type:","SATA"
"Internal Reference:","Ctrl0Port0"
"Internal Connector Type:","SAS/SATA Plug Receptacle"
"External Reference:","Primary HDD Bay*"
"External Connector Type:","SAS/SATA Plug Receptacle"

SATA

"Port Type:","SATA"
"Internal Reference:","Ctrl0Port1"
"Internal Connector Type:","SAS/SATA Plug Receptacle"
"External Reference:","Secondary HDD Bay*"
"External Connector Type:","SAS/SATA Plug Receptacle"

System Slots


J6C1

"Slot Designation:","J6C1"
"Slot Type:","PCI Express x1"
"Slot Usage:","In use"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J6D2

"Slot Designation:","J6D2"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J7C1

"Slot Designation:","J7C1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J7D1

"Slot Designation:","J7D1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J8C1

"Slot Designation:","J8C1"
"Slot Type:","PCI Express x4"
"Slot Usage:","In use"
"Slot Data Bus Width:","4x / x4"
"Slot Length:","Unknown"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Disabled"
"Boot Guard Measured Boot Policy:","Disabled"
"Intel ME Version:","11.8, Build 3590, Hot Fix 65"
"Intel ME Recovery Image Version:","11.8, Build 3590, Hot Fix 65"
"Intel ME FITC Version:","11.8, Build 3434, Hot Fix 50"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Not Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Not Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Enabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Disabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Disabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Enabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Disabled"

Intel ICC

"Clock Usage:","BCLK/DMI/PEG/PCIe/SATA/USB3"
"Current Frequency:","100.000 MHz"
"User Frequency:","100.000 MHz"
"Minimum Frequency:","99.500 MHz"
"Maximum Frequency:","100.000 MHz"
"SSC Mode:","Down, 0.47%"
"Spread Supported:","Down"
"Change Allowed:","Not Supported"
"Halt Allowed:","Not Supported"
"Clock Source:","PCIe"
"Clock Usage:","Not Used"
"Current Frequency:","100.000 MHz"
"User Frequency:","100.000 MHz"
"Minimum Frequency:","99.500 MHz"
"Maximum Frequency:","100.000 MHz"
"SSC Mode:","Down, 0.47%"
"Spread Supported:","Down"
"Change Allowed:","Not Supported"
"Halt Allowed:","Not Supported"
"Clock Source:","PCIe"

Memory

"Total Memory Size:","16 GBytes"
"Total Memory Size [MB]:","16384"
"Maximum Supported Memory Clock:","1200.0 MHz"
"Current Memory Clock:","1196.8 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","17-17-17-39"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","2T"
"Read to Read Delay (tRD_RD) Same Rank:","6T"
"Read to Read Delay (tRD_RD) Different Rank:","4T"
"Read to Read Delay (tRD_RD) Different DIMM:","7T"
"Write to Write Delay (tWR_WR) Same Rank:","6T"
"Write to Write Delay (tWR_WR) Different Rank:","4T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","9T"
"Read to Write Delay (tRD_WR) Different Rank:","9T"
"Read to Write Delay (tRD_WR) Different DIMM:","11T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","30T"
"Write to Read Delay (tWR_RD) Different Rank:","24T"
"Write to Read Delay (tWR_RD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","6T"
"Refresh Cycle Time (tRFC):","420T"
"Four Activate Window (tFAW):","26T"

Row: 0 - 8 GB PC4-19200 DDR4 SDRAM A-DATA Technology AO1P24HC8T1-BPGS

"Module Number:","0"
"Module Size:","8 GBytes"
"Memory Type:","DDR4 SDRAM"
"Module Type:","SO-DIMM"
"Memory Speed:","1200.5 MHz (DDR4-2400 / PC4-19200)"
"Module Manufacturer:","A-DATA Technology"
"Module Part Number:","AO1P24HC8T1-BPGS"
"Module Revision:","0.0"
"Module Serial Number:","293052"
"Module Manufacturing Date:","Year: 2018, Week: 28"
"Module Manufacturing Location:","1"
"SDRAM Manufacturer:","Nanya Technology"
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Module Density:","8192 Mb"
"Number Of Ranks:","1"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Module Nominal Voltage (VDD):","1.2 V"
"Minimum SDRAM Cycle Time (tCKAVGmin):","0.83300 ns"
"Maximum SDRAM Cycle Time (tCKAVGmax):","1.50000 ns"
"CAS# Latencies Supported:","10, 11, 12, 13, 14, 15, 16, 17, 18"
"Minimum CAS# Latency Time (tAAmin):","13.750 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Supported Module Timing at 1200.0 MHz:","17-17-17-39"
"Supported Module Timing at 1066.7 MHz:","15-15-15-35"
"Supported Module Timing at 933.3 MHz:","13-13-13-30"
"Supported Module Timing at 800.0 MHz:","11-11-11-26"
"Supported Module Timing at 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.300 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Module Temperature Sensor (TSOD):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Row: 2 - 8 GB PC4-19200 DDR4 SDRAM A-DATA Technology AO1P24HC8T1-BPGS

"Module Number:","2"
"Module Size:","8 GBytes"
"Memory Type:","DDR4 SDRAM"
"Module Type:","SO-DIMM"
"Memory Speed:","1200.5 MHz (DDR4-2400 / PC4-19200)"
"Module Manufacturer:","A-DATA Technology"
"Module Part Number:","AO1P24HC8T1-BPGS"
"Module Revision:","0.0"
"Module Serial Number:","293286"
"Module Manufacturing Date:","Year: 2018, Week: 28"
"Module Manufacturing Location:","1"
"SDRAM Manufacturer:","Nanya Technology"
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Module Density:","8192 Mb"
"Number Of Ranks:","1"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Module Nominal Voltage (VDD):","1.2 V"
"Minimum SDRAM Cycle Time (tCKAVGmin):","0.83300 ns"
"Maximum SDRAM Cycle Time (tCKAVGmax):","1.50000 ns"
"CAS# Latencies Supported:","10, 11, 12, 13, 14, 15, 16, 17, 18"
"Minimum CAS# Latency Time (tAAmin):","13.750 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Supported Module Timing at 1200.0 MHz:","17-17-17-39"
"Supported Module Timing at 1066.7 MHz:","15-15-15-35"
"Supported Module Timing at 933.3 MHz:","13-13-13-30"
"Supported Module Timing at 800.0 MHz:","11-11-11-26"
"Supported Module Timing at 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.300 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Module Temperature Sensor (TSOD):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Bus


PCI Bus #0


Intel Kaby Lake R U - Host Bridge/DRAM Controller [Y0]

"Device Name:","Intel Kaby Lake R U - Host Bridge/DRAM Controller [Y0]"
"Original Device Name:","Intel Kaby Lake R U - Host Bridge/DRAM Controller [Y0]"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","8 [Y0]"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_5914&SUBSYS_8484103C&REV_08"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Host Bridge/DRAM Registers - 5914"
"Driver Provider:","INTEL"
"Driver Version:","10.1.10.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_5914&SUBSYS_8484103C&REV_08\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics 620 (Kaby Lake R U GT2) - Integrated Graphics Controller [Y0]

"Device Name:","Intel UHD Graphics 620 (Kaby Lake R U GT2) - Integrated Graphics Controller [Y0]"
"Original Device Name:","Intel UHD Graphics 620 (Kaby Lake R U GT2) - Integrated Graphics Controller [Y0]"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","7 [Y0]"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_5917&SUBSYS_8484103C&REV_07"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A2000000"
"Memory Base Address 2","B0000000"
"I/O Base Address 4","4000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 620"
"Driver Provider:","Intel Corporation"
"Driver Version:","25.20.100.6617"
"Driver Date:","08-Mar-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_5917&SUBSYS_8484103C&REV_07\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","8"
"PCI Address (Bus:Device:Function) Number:","0:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1903&SUBSYS_8484103C&REV_08"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4320000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Dynamic Platform and Thermal Framework Processor Participant"
"Driver Provider:","Intel"
"Driver Version:","8.5.10103.7263"
"Driver Date:","12-Dec-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_1903&SUBSYS_8484103C&REV_08\3&11583659&0&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Skylake/Kaby Lake-U/Y PCH - Integrated Sensor Hub (ISH) [C1]

"Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - Integrated Sensor Hub (ISH) [C1]"
"Original Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - Integrated Sensor Hub (ISH) [C1]"
"Device Class:","Reserved"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:19:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D35&SUBSYS_8484103C&REV_21"
"Interrupt Line:","IRQ20"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4332000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Integrated Sensor Solution"
"Driver Provider:","Intel"
"Driver Version:","3.1.0.3527"
"Driver Date:","16-Jan-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D35&SUBSYS_8484103C&REV_21\3&11583659&0&98"
"Location Paths","PCIROOT(0)#PCI(1300)"

Intel Skylake-U/Y PCH - USB 3.0 xHCI Controller  [C1]

"Device Name:","Intel Skylake-U/Y PCH - USB 3.0 xHCI Controller  [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - USB 3.0 xHCI Controller  [C1]"
"Device Class:","USB xHCI Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D2F&SUBSYS_8484103C&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4310000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.0"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.10000"
"Driver Date:","21-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D2F&SUBSYS_8484103C&REV_21\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : USB Composite Device

"Device Manufacturer:","Quanta Computer"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_0408&PID_5300"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0408&PID_5300\200901010001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(4)"

[Port5] : No Device Connected


[Port6] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0029"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.40.0.1"
"Driver Date:","01-Aug-2019"
"DeviceInstanceId","USB\VID_8087&PID_0029\5&3598B561&0&6"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Skylake/Kaby Lake-U/Y PCH - Thermal Subsystem [C1]

"Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - Thermal Subsystem [C1]"
"Original Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - Thermal Subsystem [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D31&SUBSYS_8484103C&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTC#"
"Memory Base Address 0","A4333000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O Thermal subsystem - 9D31"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D31&SUBSYS_8484103C&REV_21\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Skylake-U/Y PCH - LPSS: I2C Controller #0 [C1]

"Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #0 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #0 [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D60&SUBSYS_8484103C&REV_21"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE40B000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9D60"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1902.1"
"Driver Date:","11-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D60&SUBSYS_8484103C&REV_21\3&11583659&0&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Skylake-U/Y PCH - LPSS: I2C Controller #1 [C1]

"Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #1 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #1 [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:21:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D61&SUBSYS_8484103C&REV_21"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","FE40C000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9D61"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1902.1"
"Driver Date:","11-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D61&SUBSYS_8484103C&REV_21\3&11583659&0&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Skylake-U/Y PCH - CSME: HECI #1 [C1]

"Device Name:","Intel Skylake-U/Y PCH - CSME: HECI #1 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - CSME: HECI #1 [C1]"
"Device Class:","Other Communication Device"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D3A&SUBSYS_8484103C&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE40D000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1914.12.0.1256"
"Driver Date:","04-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D3A&SUBSYS_8484103C&REV_21\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Skylake-U/Y PCH - SATA AHCI Controller [C1]

"Device Name:","Intel Skylake-U/Y PCH - SATA AHCI Controller [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - SATA AHCI Controller [C1]"
"Device Class:","SATA AHCI Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:23:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D03&SUBSYS_8484103C&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4330000"
"Memory Base Address 1","A433B000"
"I/O Base Address 2","4080"
"I/O Base Address 3","4088"
"I/O Base Address 4","4060"
"Memory Base Address 5","A4339000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Capable"
"Fast Back-to-Back Transactions:","Capable"
"Interface Speed Supported:","Gen3 6.0 Gbps"
"Number Of Ports:","1"
"External SATA Support:","Not Capable"
"Aggressive Link Power Management:","Capable"
"Staggered Spin-up:","Not Capable"
"Mechanical Presence Switch:","Not Capable"
"Command Queue Acceleration:","Capable"
"64-bit Addressing:","Capable"
"AHCI Status:","Enabled"
"AHCI Version:","1.31"
"Ports Implemented:","2"
"Port Status:","Device Present, Phy communication not established"
"Current Interface Speed:","Gen3 6.0 Gbps"
"External SATA Port:","Not Capable"
"Hot Plug:","Not Capable"
"Device Type:","SATA"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) 6th Generation Core Processor Family Platform I/O SATA AHCI Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","15.9.8.1050"
"Driver Date:","31-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D03&SUBSYS_8484103C&REV_21\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Skylake-U/Y PCH - PCI Express Root Port #1 [A1/C1]

"Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #1 [A1/C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #1 [A1/C1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [A1/C1]"
"PCI Address (Bus:Device:Function) Number:","0:28:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D10&SUBSYS_00000000&REV_F1"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
