
DESKTOP-4HH3VIE

"Computer Name:","DESKTOP-4HH3VIE"

"Port Type:","USB"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A2"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

Network Port

"Port Type:","Network Port"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","Network"
"External Connector Type:","RJ-45"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9G2"
"Internal Connector Type:","On Board Floppy"
"External Reference:","OnBoard Floppy Type"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J7J1"
"Internal Connector Type:","On Board IDE"
"External Reference:","OnBoard Primary IDE"
"External Connector Type:","None"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Microphone In"
"External Connector Type:","Mini-jack (headphones)"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Line In"
"External Connector Type:","Mini-jack (headphones)"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Speaker Out"
"External Connector Type:","Mini-jack (headphones)"

SATA

"Port Type:","SATA"
"Internal Reference:","Ctrl0Port0"
"Internal Connector Type:","SAS/SATA Plug Receptacle"
"External Reference:","Primary HDD Bay*"
"External Connector Type:","SAS/SATA Plug Receptacle"

SATA

"Port Type:","SATA"
"Internal Reference:","Ctrl0Port1"
"Internal Connector Type:","SAS/SATA Plug Receptacle"
"External Reference:","Secondary HDD Bay*"
"External Connector Type:","SAS/SATA Plug Receptacle"

System Slots


J6C1

"Slot Designation:","J6C1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J6D2

"Slot Designation:","J6D2"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J7C1

"Slot Designation:","J7C1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J7D1

"Slot Designation:","J7D1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J8C1

"Slot Designation:","J8C1"
"Slot Type:","PCI Express x4"
"Slot Usage:","In use"
"Slot Data Bus Width:","4x / x4"
"Slot Length:","Unknown"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Disabled"
"Boot Guard Measured Boot Policy:","Disabled"
"Intel ME Version:","14.0, Build 1061"
"Intel ME Recovery Image Version:","14.0, Build 1061"
"Intel ME FITC Version:","14.0, Build 1061"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Enabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Enabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Enabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Enabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Disabled"

Memory

"Total Memory Size:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Maximum Supported Memory Clock:","1333.3 MHz"
"Current Memory Clock:","1330.4 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","19-19-19-43"
"Memory Channels Supported:","2"
"Memory Channels Active:","1"
"Command Rate:","2T"
"Read to Read Delay (tRD_RD) Same Rank:","7T"
"Read to Read Delay (tRD_RD) Different Rank:","4T"
"Read to Read Delay (tRD_RD) Different DIMM:","7T"
"Write to Write Delay (tWR_WR) Same Rank:","7T"
"Write to Write Delay (tWR_WR) Different Rank:","4T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","9T"
"Read to Write Delay (tRD_WR) Different Rank:","9T"
"Read to Write Delay (tRD_WR) Different DIMM:","11T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","34T"
"Write to Read Delay (tWR_RD) Different Rank:","27T"
"Write to Read Delay (tWR_RD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","7T"
"Refresh Cycle Time (tRFC):","467T"
"Four Activate Window (tFAW):","28T"

Row: 0 - 8 GB PC4-21300 DDR4 SDRAM SK Hynix HMA81GS6JJR8N-VK

"Module Number:","0"
"Module Size:","8 GBytes"
"Memory Type:","DDR4 SDRAM"
"Module Type:","SO-DIMM"
"Memory Speed:","1333.3 MHz (DDR4-2666 / PC4-21300)"
"Module Manufacturer:","SK Hynix"
"Module Part Number:","HMA81GS6JJR8N-VK"
"Module Revision:","0.0"
"Module Serial Number:","1878604591"
"Module Manufacturing Date:","Year: 2019, Week: 24"
"Module Manufacturing Location:","2"
"SDRAM Manufacturer:","SK Hynix"
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Module Density:","8192 Mb"
"Number Of Ranks:","1"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Module Nominal Voltage (VDD):","1.2 V"
"Minimum SDRAM Cycle Time (tCKAVGmin):","0.75000 ns"
"Maximum SDRAM Cycle Time (tCKAVGmax):","1.60000 ns"
"CAS# Latencies Supported:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
"Minimum CAS# Latency Time (tAAmin):","13.750 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Supported Module Timing at 1333.3 MHz:","19-19-19-43"
"Supported Module Timing at 1200.0 MHz:","17-17-17-39"
"Supported Module Timing at 1066.7 MHz:","15-15-15-35"
"Supported Module Timing at 933.3 MHz:","13-13-13-30"
"Supported Module Timing at 800.0 MHz:","11-11-11-26"
"Supported Module Timing at 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.000 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Module Temperature Sensor (TSOD):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Bus


PCI Bus #0


Intel Comet Lake-U v1 4c - Host Bridge/DRAM Controller

"Device Name:","Intel Comet Lake-U v1 4c - Host Bridge/DRAM Controller"
"Original Device Name:","Intel Comet Lake-U v1 4c - Host Bridge/DRAM Controller"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","C"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9B61&SUBSYS_86B2103C&REV_0C"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard host CPU bridge"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.267"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_9B61&SUBSYS_86B2103C&REV_0C\3&11583659&2&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics (Comet Lake-U GT2) - Integrated Graphics Controller [V0]

"Device Name:","Intel UHD Graphics (Comet Lake-U GT2) - Integrated Graphics Controller [V0]"
"Original Device Name:","Intel UHD Graphics (Comet Lake-U GT2) - Integrated Graphics Controller [V0]"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","2 [V0]"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9B41&SUBSYS_86B2103C&REV_02"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","B6000000"
"Memory Base Address 2","C0000000"
"I/O Base Address 4","8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics"
"Driver Provider:","Intel Corporation"
"Driver Version:","26.20.100.6911"
"Driver Date:","27-May-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_9B41&SUBSYS_86B2103C&REV_02\3&11583659&2&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","C"
"PCI Address (Bus:Device:Function) Number:","0:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1903&SUBSYS_86B2103C&REV_0C"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","BD110000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Dynamic Tuning Processor Participant"
"Driver Provider:","Intel"
"Driver Version:","8.6.10400.9366"
"Driver Date:","05-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_1903&SUBSYS_86B2103C&REV_0C\3&11583659&2&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Device Class:","Unknown Peripheral Device"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","0:8:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1911&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","BD126000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Gaussian Mixture Model - 1911"
"Driver Provider:","INTEL"
"Driver Version:","10.1.7.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_1911&SUBSYS_86B2103C&REV_00\3&11583659&2&40"
"Location Paths","PCIROOT(0)#PCI(0800)"

Intel Comet Lake PCH-LP - Thermal Subsystem [A0]

"Device Name:","Intel Comet Lake PCH-LP - Thermal Subsystem [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - Thermal Subsystem [A0]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:18:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02F9&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","BD127000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Thermal Subsytem - 02F9"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02F9&SUBSYS_86B2103C&REV_00\3&11583659&2&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Comet Lake PCH-LP - Integrated Sensor Hub [A0]

"Device Name:","Intel Comet Lake PCH-LP - Integrated Sensor Hub [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - Integrated Sensor Hub [A0]"
"Device Class:","RS-232 Serial Port"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:19:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02FC&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","IRQ20"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","BD120000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Integrated Sensor Solution"
"Driver Provider:","Intel"
"Driver Version:","3.1.0.4109"
"Driver Date:","15-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02FC&SUBSYS_86B2103C&REV_00\3&11583659&2&98"
"Location Paths","PCIROOT(0)#PCI(1300)"

Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]

"Device Name:","Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]"
"Device Class:","USB xHCI Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02ED&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","BD100000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","18-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02ED&SUBSYS_86B2103C&REV_00\3&11583659&2&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : Synaptics WBDI SGX

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics WBDI SGX"
"Hardware ID:","USB\VID_06CB&PID_00C9"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics WBDI SGX"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","6.0.20.1111"
"Driver Date:","19-May-2019"
"DeviceInstanceId","USB\VID_06CB&PID_00C9\4939C4C68025"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0026"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.20.0.4"
"Driver Date:","22-May-2019"
"DeviceInstanceId","USB\VID_8087&PID_0026\5&10E77298&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.0 SuperSpeed"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(15)"

[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Comet Lake PCH-LP - Shared SRAM [A0]

"Device Name:","Intel Comet Lake PCH-LP - Shared SRAM [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - Shared SRAM [A0]"
"Device Class:","RAM/Memory Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02EF&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","BD122000"
"Memory Base Address 2","BD128000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Shared SRAM - 02EF"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02EF&SUBSYS_86B2103C&REV_00\3&11583659&2&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]

"Device Name:","Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]"
"Device Class:","Other Network Adapter"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:20:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02F0&SUBSYS_00748086&REV_00"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","BD118000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wi-Fi 6 AX201 160MHz"
"Driver Provider:","Intel"
"Driver Version:","21.20.0.5"
"Driver Date:","27-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02F0&SUBSYS_00748086&REV_00\3&11583659&2&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

Intel Comet Lake PCH-LP - LPSS: I2C Controller #0 [A0]

"Device Name:","Intel Comet Lake PCH-LP - LPSS: I2C Controller #0 [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - LPSS: I2C Controller #0 [A0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02E8&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0FA000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 02E8"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1915.1"
"Driver Date:","07-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02E8&SUBSYS_86B2103C&REV_00\3&11583659&2&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Comet Lake PCH-LP - LPSS: I2C Controller #1 [A0]

"Device Name:","Intel Comet Lake PCH-LP - LPSS: I2C Controller #1 [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - LPSS: I2C Controller #1 [A0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:21:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02E9&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 02E9"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1915.1"
"Driver Date:","07-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02E9&SUBSYS_86B2103C&REV_00\3&11583659&2&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Comet Lake PCH-LP - HECI #1 [A0]

"Device Name:","Intel Comet Lake PCH-LP - HECI #1 [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - HECI #1 [A0]"
"Device Class:","Other Communication Device"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02E0&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0FB000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1919.14.0.1269"
"Driver Date:","06-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02E0&SUBSYS_86B2103C&REV_00\3&11583659&2&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller [A0]

"Device Name:","Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller [A0]"
"Original Device Name:","Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller [A0]"
"Device Class:","RAID controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:23:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_282A&SUBSYS_86B2103C&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","BD124000"
"Memory Base Address 1","BD12F000"
"I/O Base Address 2","8080"
"I/O Base Address 3","8088"
"I/O Base Address 4","8060"
"Memory Base Address 5","BD12E000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Capable"
"Fast Back-to-Back Transactions:","Capable"
"Interface Speed Supported:","Gen2 3.0 Gbps"
"Number Of Ports:","16"
"External SATA Support:","Not Capable"
"Aggressive Link Power Management:","Capable"
"Staggered Spin-up:","Not Capable"
"Mechanical Presence Switch:","Not Capable"
"Command Queue Acceleration:","Capable"
"64-bit Addressing:","Capable"
"AHCI Status:","Enabled"
"AHCI Version:","1.31"
"Ports Implemented:",""
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Chipset SATA/PCIe RST Premium Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","17.5.2.1024"
"Driver Date:","07-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_282A&SUBSYS_86B2103C&REV_00\3&11583659&2&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Comet Lake PCH-LP - PCI Express Root Port #1 [A0/D0]

"Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #1 [A0/D0]"
"Original Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #1 [A0/D0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [A0/D0]"
"PCI Address (Bus:Device:Function) Number:","0:28:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02B8&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","Not negotiated"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
