
LAPTOP-U5PI9T6R

"Computer Name:","LAPTOP-U5PI9T6R"
"Module Type:","SO-DIMM"
"Memory Speed:","1600.0 MHz (DDR4-3200 / PC4-25600)"
"Module Manufacturer:","Micron Tech."
"Module Part Number:","16ATF2G64HZ-3G2J1"
"Module Revision:","3.1"
"Module Serial Number:","2553285152"
"Module Manufacturing Date:","Year: 2019, Week: 1"
"Module Manufacturing Location:","15"
"SDRAM Manufacturer:","Micron Tech."
"DRAM Steppping:","4.A"
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Module Density:","8192 Mb"
"Number Of Ranks:","2"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Module Nominal Voltage (VDD):","1.2 V"
"Minimum SDRAM Cycle Time (tCKAVGmin):","0.62500 ns"
"Maximum SDRAM Cycle Time (tCKAVGmax):","1.60000 ns"
"CAS# Latencies Supported:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28"
"Minimum CAS# Latency Time (tAAmin):","13.750 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Supported Module Timing at 1600.0 MHz:","22-22-22-52"
"Supported Module Timing at 1466.7 MHz:","21-21-21-47"
"Supported Module Timing at 1333.3 MHz:","19-19-19-43"
"Supported Module Timing at 1200.0 MHz:","17-17-17-39"
"Supported Module Timing at 1066.7 MHz:","15-15-15-35"
"Supported Module Timing at 933.3 MHz:","13-13-13-30"
"Supported Module Timing at 800.0 MHz:","11-11-11-26"
"Supported Module Timing at 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","2.500 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Module Temperature Sensor (TSOD):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Mirrored"

Row: 2 - 16 GB PC4-25600 DDR4 SDRAM Micron Tech. 16ATF2G64HZ-3G2J1

"Module Number:","2"
"Module Size:","16 GBytes"
"Memory Type:","DDR4 SDRAM"
"Module Type:","SO-DIMM"
"Memory Speed:","1600.0 MHz (DDR4-3200 / PC4-25600)"
"Module Manufacturer:","Micron Tech."
"Module Part Number:","16ATF2G64HZ-3G2J1"
"Module Revision:","3.1"
"Module Serial Number:","4230810144"
"Module Manufacturing Date:","Year: 2019, Week: 1"
"Module Manufacturing Location:","15"
"SDRAM Manufacturer:","Micron Tech."
"DRAM Steppping:","4.A"
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Module Density:","8192 Mb"
"Number Of Ranks:","2"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Module Nominal Voltage (VDD):","1.2 V"
"Minimum SDRAM Cycle Time (tCKAVGmin):","0.62500 ns"
"Maximum SDRAM Cycle Time (tCKAVGmax):","1.60000 ns"
"CAS# Latencies Supported:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28"
"Minimum CAS# Latency Time (tAAmin):","13.750 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Supported Module Timing at 1600.0 MHz:","22-22-22-52"
"Supported Module Timing at 1466.7 MHz:","21-21-21-47"
"Supported Module Timing at 1333.3 MHz:","19-19-19-43"
"Supported Module Timing at 1200.0 MHz:","17-17-17-39"
"Supported Module Timing at 1066.7 MHz:","15-15-15-35"
"Supported Module Timing at 933.3 MHz:","13-13-13-30"
"Supported Module Timing at 800.0 MHz:","11-11-11-26"
"Supported Module Timing at 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","2.500 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Module Temperature Sensor (TSOD):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Mirrored"

Bus


PCI Bus #0


Intel Coffee Lake-H 6 - Host Bridge/DRAM Controller [U0]

"Device Name:","Intel Coffee Lake-H 6 - Host Bridge/DRAM Controller [U0]"
"Original Device Name:","Intel Coffee Lake-H 6 - Host Bridge/DRAM Controller [U0]"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","7 [U0]"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3EC4&SUBSYS_133A1025&REV_07"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Host Bridge/DRAM Registers - 3EC4"
"Driver Provider:","INTEL"
"Driver Version:","10.1.14.7"
"DeviceInstanceId","PCI\VEN_8086&DEV_3EC4&SUBSYS_133A1025&REV_07\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Skylake/Kaby Lake/Coffee Lake - PCI Express x16 Controller [R0]

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake - PCI Express x16 Controller [R0]"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake - PCI Express x16 Controller [R0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","7 [R0]"
"PCI Address (Bus:Device:Function) Number:","0:1:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1901&SUBSYS_00000000&REV_07"
"Version:","3.0"
"Maximum Link Width:","16x"
"Current Link Width:","16x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","75.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","128 - 256 ns"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCIe Controller (x16) - 1901"
"Driver Provider:","INTEL"
"Driver Version:","10.1.7.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_1901&SUBSYS_133A1025&REV_07\3&11583659&0&08"
"Location Paths","PCIROOT(0)#PCI(0100)"

PCI Express x16 Bus #1


NVIDIA GeForce GTX 1650 (TU117M)

"Device Name:","NVIDIA GeForce GTX 1650 (TU117M)"
"Original Device Name:","NVIDIA GeForce GTX 1650 (TU117M)"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","A1"
"PCI Address (Bus:Device:Function) Number:","1:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10DE&DEV_1F91&SUBSYS_13371025&REV_A1"
"Version:","3.0"
"Maximum Link Width:","16x"
"Current Link Width:","16x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Legacy PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A3000000"
"Memory Base Address 1","90000000"
"Memory Base Address 3","A0000000"
"I/O Base Address 5","0"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce GTX 1650"
"Driver Provider:","NVIDIA"
"Driver Version:","25.21.14.1788 (GeForce 417.88)"
"Driver Date:","12-Feb-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1F91&SUBSYS_13371025&REV_A1\4&197A98C4&0&0008"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0000)"

Intel UHD Graphics 630 (Coffee Lake-H GT2) - Integrated Graphics Controller

"Device Name:","Intel UHD Graphics 630 (Coffee Lake-H GT2) - Integrated Graphics Controller"
"Original Device Name:","Intel UHD Graphics 630 (Coffee Lake-H GT2) - Integrated Graphics Controller"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3E9B&SUBSYS_133A1025&REV_00"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A2000000"
"Memory Base Address 2","B0000000"
"I/O Base Address 4","5000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 630"
"Driver Provider:","Intel Corporation"
"Driver Version:","25.20.100.6519"
"Driver Date:","09-Jan-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_3E9B&SUBSYS_133A1025&REV_00\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Device Class:","Unknown Peripheral Device"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","0:8:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1911&SUBSYS_133A1025&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A469E000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Gaussian Mixture Model - 1911"
"Driver Provider:","INTEL"
"Driver Version:","10.1.7.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_1911&SUBSYS_133A1025&REV_00\3&11583659&0&40"
"Location Paths","PCIROOT(0)#PCI(0800)"

Intel Cannon Lake-H/S - Thermal Subsystem [B0]

"Device Name:","Intel Cannon Lake-H/S - Thermal Subsystem [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - Thermal Subsystem [B0]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:18:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A379&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A469F000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Thermal Subsystem - A379"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A379&SUBSYS_133A1025&REV_10\3&11583659&0&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Cannon Lake-H/S - USB 3.1 xHCI Host Controller [B0]

"Device Name:","Intel Cannon Lake-H/S - USB 3.1 xHCI Host Controller [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - USB 3.1 xHCI Host Controller [B0]"
"Device Class:","USB xHCI Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A36D&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4680000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.592"
"Driver Date:","15-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_A36D&SUBSYS_133A1025&REV_10\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : USB Composite Device

"Device Manufacturer:","Quanta Computer"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_0408&PID_A061"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0408&PID_A061\5&386F46E1&0&5"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : EgisTec Touch Fingerprint Sensor

"Device Manufacturer:","-"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","1.10"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","EgisTec Touch Fingerprint Sensor"
"Hardware ID:","USB\VID_1C7A&PID_0570"
"Driver Manufacturer:","Egis Technology Inc."
"Driver Description:","EgisTec Touch Fingerprint Sensor"
"Driver Provider:","Egis Technology Inc."
"Driver Version:","3.5.3.17"
"Driver Date:","24-Aug-2018"
"DeviceInstanceId","USB\VID_1C7A&PID_0570\5&386F46E1&0&8"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : Bluetooth USB Module

"Device Manufacturer:","Lite-On"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Bluetooth USB Module"
"Hardware ID:","USB\VID_04CA&PID_3016"
"Driver Manufacturer:","Qualcomm Atheros Communications"
"Driver Description:","Bluetooth USB Module"
"Driver Provider:","Qualcomm Atheros Communications"
"Driver Version:","10.0.0.815"
"Driver Date:","04-Nov-2018"
"DeviceInstanceId","USB\VID_04CA&PID_3016\5&386F46E1&0&14"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(14)"

[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.0 SuperSpeed"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(18)"

[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected


[Port23] : No Device Connected


[Port24] : No Device Connected


Intel Cannon Lake-H/S - Shared SRAM [B0]

"Device Name:","Intel Cannon Lake-H/S - Shared SRAM [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - Shared SRAM [B0]"
"Device Class:","RAM/Memory Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A36F&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","A469C000"
"Memory Base Address 2","A46A0000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard RAM Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_A36F&SUBSYS_133A1025&REV_10\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Cannon Lake-H/S - LPSS: I2C Controller #0 [B0]

"Device Name:","Intel Cannon Lake-H/S - LPSS: I2C Controller #0 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - LPSS: I2C Controller #0 [B0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A368&SUBSYS_133A1025&REV_10"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - A368"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1841.2"
"Driver Date:","08-Oct-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_A368&SUBSYS_133A1025&REV_10\3&11583659&0&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Cannon Lake-H/S - LPSS: I2C Controller #1 [B0]

"Device Name:","Intel Cannon Lake-H/S - LPSS: I2C Controller #1 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - LPSS: I2C Controller #1 [B0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:21:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A369&SUBSYS_133A1025&REV_10"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","FE0F8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - A369"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1841.2"
"Driver Date:","08-Oct-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_A369&SUBSYS_133A1025&REV_10\3&11583659&0&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Cannon Lake-H/S - HECI #1 [B0]

"Device Name:","Intel Cannon Lake-H/S - HECI #1 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - HECI #1 [B0]"
"Device Class:","Other Communication Device"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A360&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0FA000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1828.12.0.1152"
"Driver Date:","12-Jul-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_A360&SUBSYS_133A1025&REV_10\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel ICH8/PCH - SATA RAID 0/1/5/10 Controller

"Device Name:","Intel ICH8/PCH - SATA RAID 0/1/5/10 Controller"
"Original Device Name:","Intel ICH8/PCH - SATA RAID 0/1/5/10 Controller"
"Device Class:","RAID controller"
"Revision ID:","10"
"PCI Address (Bus:Device:Function) Number:","0:23:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_2822&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4690000"
"Memory Base Address 1","A46A7000"
"I/O Base Address 2","5080"
"I/O Base Address 3","5088"
"I/O Base Address 4","5060"
"Memory Base Address 5","A4600000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Capable"
"Fast Back-to-Back Transactions:","Capable"
"Interface Speed Supported:","Gen3 6.0 Gbps"
"Number Of Ports:","1"
"External SATA Support:","Not Capable"
"Aggressive Link Power Management:","Capable"
"Staggered Spin-up:","Not Capable"
"Mechanical Presence Switch:","Not Capable"
"Command Queue Acceleration:","Capable"
"64-bit Addressing:","Capable"
"AHCI Status:","Enabled"
"AHCI Version:","1.31"
"Ports Implemented:","4"
"Port Status:","Device Present, Phy communication not established"
"Current Interface Speed:","Gen3 6.0 Gbps"
"External SATA Port:","Not Capable"
"Hot Plug:","Not Capable"
"Device Type:","SATA"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Chipset SATA/PCIe RST Premium Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","17.0.0.1072"
"Driver Date:","20-Dec-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_2822&SUBSYS_133A1025&REV_10\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Cannon Lake-H/S - PCI Express Root Port #14 [B0]

"Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #14 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #14 [B0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:29:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A335&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTB#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #14 - A335"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A335&SUBSYS_133A1025&REV_F0\3&11583659&0&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

PCI Express x1 Bus #6


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Device Name:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Original Device Name:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Device Class:","Ethernet Adapter"
"Revision ID:","25"
"PCI Address (Bus:Device:Function) Number:","6:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10EC&DEV_8168&SUBSYS_133A1025&REV_25"
"Version:","1.1"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"I/O Base Address 0","3000"
"Memory Base Address 2","A4504000"
"Memory Base Address 4","A4500000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Realtek"
"Driver Description:","Realtek Gaming GbE Family Controller"
"Driver Provider:","Realtek"
"Driver Version:","10.32.1206.2018"
"Driver Date:","06-Dec-2018"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_133A1025&REV_25\4&A8F3C81&0&00E8"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Intel Cannon Lake-H/S - PCI Express Root Port #15 [B0]

"Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #15 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #15 [B0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:29:6"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A336&SUBSYS_00000000&REV_F0"
