
DESKTOP-TEIQM7R

"Computer Name:","DESKTOP-TEIQM7R"
"Internal Connector Type:","None"
"External Reference:","Keyboard"
"External Connector Type:","PS/2"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","Micro SD"
"Internal Connector Type:","None"
"External Reference:","Micro SD"
"External Connector Type:","Mini-Centronics Type-14"

Video Port

"Port Type:","Video Port"
"Internal Reference:","HDMI"
"Internal Connector Type:","None"
"External Reference:","HDMI"
"External Connector Type:","None"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","Audio Jack"
"Internal Connector Type:","None"
"External Reference:","Audio Jack"
"External Connector Type:","Mini-jack (headphones)"

USB

"Port Type:","USB"
"Internal Reference:","Right USB 3.1 GEN2"
"Internal Connector Type:","None"
"External Reference:","Right Type C"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","Right USB 3.1 GEN2"
"Internal Connector Type:","None"
"External Reference:","Right Type C"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","Right USB 3.1 GEN2"
"Internal Connector Type:","None"
"External Reference:","Right Type A"
"External Connector Type:","Access Bus (USB)"

SATA

"Port Type:","SATA"
"Internal Reference:","Ctrl0Port0"
"Internal Connector Type:","SAS/SATA Plug Receptacle"
"External Reference:","Primary HDD Bay"
"External Connector Type:","SAS/SATA Plug Receptacle"

SATA

"Port Type:","SATA"
"Internal Reference:","Ctrl0Port4"
"Internal Connector Type:","SAS/SATA Plug Receptacle"
"External Reference:","Secondary HDD Bay"
"External Connector Type:","SAS/SATA Plug Receptacle"

System Slots


J6B2

"Slot Designation:","J6B2"
"Slot Type:","PCI Express"
"Slot Usage:","In use"
"Slot Data Bus Width:","16x / x16"
"Slot Length:","Long"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Disabled"
"Boot Guard Measured Boot Policy:","Disabled"
"Intel ME Version:","12.0, Build 1430, Hot Fix 38"
"Intel ME Recovery Image Version:","12.0, Build 1430, Hot Fix 38"
"Intel ME FITC Version:","12.0, Build 1430, Hot Fix 38"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Not Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Not Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Enabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Enabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Disabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Disabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memory

"Total Memory Size:","16 GBytes"
"Total Memory Size [MB]:","16384"
"Maximum Supported Memory Clock:","1333.3 MHz"
"Current Memory Clock:","1330.1 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","19-19-19-43"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","2T"
"Read to Read Delay (tRD_RD) Same Rank:","7T"
"Read to Read Delay (tRD_RD) Different Rank:","4T"
"Read to Read Delay (tRD_RD) Different DIMM:","7T"
"Write to Write Delay (tWR_WR) Same Rank:","7T"
"Write to Write Delay (tWR_WR) Different Rank:","4T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","9T"
"Read to Write Delay (tRD_WR) Different Rank:","9T"
"Read to Write Delay (tRD_WR) Different DIMM:","11T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","33T"
"Write to Read Delay (tWR_RD) Different Rank:","27T"
"Write to Read Delay (tWR_RD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","7T"
"Refresh Cycle Time (tRFC):","467T"
"Four Activate Window (tFAW):","28T"

Bus


PCI Bus #0


Intel Coffee Lake-H 6 - Host Bridge/DRAM Controller [U0]

"Device Name:","Intel Coffee Lake-H 6 - Host Bridge/DRAM Controller [U0]"
"Original Device Name:","Intel Coffee Lake-H 6 - Host Bridge/DRAM Controller [U0]"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","7 [U0]"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3EC4&SUBSYS_863E103C&REV_07"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Host Bridge/DRAM Registers - 3EC4"
"Driver Provider:","INTEL"
"Driver Version:","10.1.14.7"
"DeviceInstanceId","PCI\VEN_8086&DEV_3EC4&SUBSYS_863E103C&REV_07\3&11583659&2&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Skylake/Kaby Lake/Coffee Lake - PCI Express x16 Controller [R0]

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake - PCI Express x16 Controller [R0]"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake - PCI Express x16 Controller [R0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","7 [R0]"
"PCI Address (Bus:Device:Function) Number:","0:1:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1901&SUBSYS_00000060&REV_07"
"Version:","3.0"
"Maximum Link Width:","8x"
"Current Link Width:","8x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","75.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","128 - 256 ns"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCIe Controller (x16) - 1901"
"Driver Provider:","INTEL"
"Driver Version:","10.1.7.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_1901&SUBSYS_863E103C&REV_07\3&11583659&2&08"
"Location Paths","PCIROOT(0)#PCI(0100)"

PCI Express x8 Bus #1


NVIDIA GeForce GTX 1650 (TU117M)

"Device Name:","NVIDIA GeForce GTX 1650 (TU117M)"
"Original Device Name:","NVIDIA GeForce GTX 1650 (TU117M)"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","A1"
"PCI Address (Bus:Device:Function) Number:","1:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10DE&DEV_1F91&SUBSYS_863E103C&REV_A1"
"Version:","3.0"
"Maximum Link Width:","16x"
"Current Link Width:","8x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Legacy PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","8F000000"
"Memory Base Address 1","6050000000"
"Memory Base Address 3","6060000000"
"I/O Base Address 5","0"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce GTX 1650 with Max-Q Design"
"Driver Provider:","NVIDIA"
"Driver Version:","26.21.14.3086 (GeForce 430.86)"
"Driver Date:","22-May-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1F91&SUBSYS_863E103C&REV_A1\4&24338806&0&0008"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0000)"

NVIDIA, Device ID: 10FA

"Device Name:","NVIDIA, Device ID: 10FA"
"Original Device Name:","NVIDIA, Device ID: 10FA"
"Device Class:","High Definition Audio"
"Revision ID:","A1"
"PCI Address (Bus:Device:Function) Number:","1:0:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10DE&DEV_10FA&SUBSYS_863E103C&REV_A1"
"Version:","3.0"
"Maximum Link Width:","16x"
"Current Link Width:","8x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","900FC000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Microsoft"
"Driver Description:","High Definition Audio Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","18-Mar-2019"
"DeviceInstanceId","PCI\VEN_10DE&DEV_10FA&SUBSYS_863E103C&REV_A1\4&24338806&0&0108"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0001)"

Intel UHD Graphics 630 (Coffee Lake-H GT2) - Integrated Graphics Controller

"Device Name:","Intel UHD Graphics 630 (Coffee Lake-H GT2) - Integrated Graphics Controller"
"Original Device Name:","Intel UHD Graphics 630 (Coffee Lake-H GT2) - Integrated Graphics Controller"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3E9B&SUBSYS_863E103C&REV_00"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","6062000000"
"Memory Base Address 2","4000000000"
"I/O Base Address 4","4000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 630"
"Driver Provider:","Intel Corporation"
"Driver Version:","26.20.100.6813"
"Driver Date:","19-Apr-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_3E9B&SUBSYS_863E103C&REV_00\3&11583659&2&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","7"
"PCI Address (Bus:Device:Function) Number:","0:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1903&SUBSYS_863E103C&REV_07"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFEE8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Dynamic Platform and Thermal Framework Processor Participant"
"Driver Provider:","Intel"
"Driver Version:","8.5.10103.7263"
"Driver Date:","12-Dec-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_1903&SUBSYS_863E103C&REV_07\3&11583659&2&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Cannon Lake-H/S - Thermal Subsystem [B0]

"Device Name:","Intel Cannon Lake-H/S - Thermal Subsystem [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - Thermal Subsystem [B0]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:18:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A379&SUBSYS_863E103C&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","6063125000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Thermal Subsystem - A379"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A379&SUBSYS_863E103C&REV_10\3&11583659&2&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Cannon Lake-H/S - Integrated Sensor Hub (ISH) [B0]

"Device Name:","Intel Cannon Lake-H/S - Integrated Sensor Hub (ISH) [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - Integrated Sensor Hub (ISH) [B0]"
"Device Class:","RS-232 Serial Port"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:19:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A37C&SUBSYS_863E103C&REV_10"
"Interrupt Line:","IRQ20"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFEFA000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Integrated Sensor Solution"
"Driver Provider:","Intel"
"Driver Version:","3.1.0.3920"
"Driver Date:","17-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_A37C&SUBSYS_863E103C&REV_10\3&11583659&2&98"
"Location Paths","PCIROOT(0)#PCI(1300)"

Intel Cannon Lake-H/S - USB 3.1 xHCI Host Controller [B0]

"Device Name:","Intel Cannon Lake-H/S - USB 3.1 xHCI Host Controller [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - USB 3.1 xHCI Host Controller [B0]"
"Device Class:","USB xHCI Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A36D&SUBSYS_863E103C&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","6063100000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","19-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_A36D&SUBSYS_863E103C&REV_10\3&11583659&2&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : Synaptics WBDI Fingerprint Reader - USB 102

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics WBDI Fingerprint Reader - USB 102"
"Hardware ID:","USB\VID_06CB&PID_00BB"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics WBDI Fingerprint Reader - USB 102"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","5.5.15.1102"
"Driver Date:","28-Jan-2019"
"DeviceInstanceId","USB\VID_06CB&PID_00BB\32AEB48684F2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(4)"

[Port5] : No Device Connected


[Port6] : USB Composite Device

"Device Manufacturer:","Quanta Computer"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_0408&PID_5255"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0408&PID_5255\01.00.00"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0029"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.10.1.1"
"Driver Date:","17-Apr-2019"
"DeviceInstanceId","USB\VID_8087&PID_0029\5&165B340A&0&7"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(7)"

[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected


[Port23] : No Device Connected


[Port24] : No Device Connected


Intel Cannon Lake-H/S - Shared SRAM [B0]

"Device Name:","Intel Cannon Lake-H/S - Shared SRAM [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - Shared SRAM [B0]"
"Device Class:","RAM/Memory Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A36F&SUBSYS_863E103C&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","606311C000"
"Memory Base Address 2","6063124000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard RAM Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.267"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_A36F&SUBSYS_863E103C&REV_10\3&11583659&2&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Cannon Lake-H/S - LPSS: I2C Controller #0 [B0]

"Device Name:","Intel Cannon Lake-H/S - LPSS: I2C Controller #0 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - LPSS: I2C Controller #0 [B0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A368&SUBSYS_863E103C&REV_10"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - A368"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1902.3"
"Driver Date:","11-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_A368&SUBSYS_863E103C&REV_10\3&11583659&2&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Cannon Lake-H/S - LPSS: I2C Controller #1 [B0]

"Device Name:","Intel Cannon Lake-H/S - LPSS: I2C Controller #1 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - LPSS: I2C Controller #1 [B0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:21:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A369&SUBSYS_863E103C&REV_10"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","7FFFEF8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - A369"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1902.3"
"Driver Date:","11-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_A369&SUBSYS_863E103C&REV_10\3&11583659&2&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Cannon Lake-H/S - HECI #1 [B0]

"Device Name:","Intel Cannon Lake-H/S - HECI #1 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - HECI #1 [B0]"
"Device Class:","Other Communication Device"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A360&SUBSYS_863E103C&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFEF7000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1904.12.0.1208"
"Driver Date:","21-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_A360&SUBSYS_863E103C&REV_10\3&11583659&2&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller

"Device Name:","Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller"
"Original Device Name:","Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller"
"Device Class:","RAID controller"
"Revision ID:","10"
"PCI Address (Bus:Device:Function) Number:","0:23:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_282A&SUBSYS_863E103C&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","8E100000"
"Memory Base Address 1","8E103000"
"I/O Base Address 2","4090"
"I/O Base Address 3","4080"
"I/O Base Address 4","4060"
"Memory Base Address 5","8E102000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Capable"
"Fast Back-to-Back Transactions:","Capable"
"Interface Speed Supported:","Gen2 3.0 Gbps"
"Number Of Ports:","16"
"External SATA Support:","Not Capable"
"Aggressive Link Power Management:","Capable"
"Staggered Spin-up:","Not Capable"
"Mechanical Presence Switch:","Not Capable"
"Command Queue Acceleration:","Capable"
"64-bit Addressing:","Capable"
"AHCI Status:","Enabled"
"AHCI Version:","1.31"
"Ports Implemented:",""
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Chipset SATA/PCIe RST Premium Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","17.5.2.1024"
"Driver Date:","08-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_282A&SUBSYS_863E103C&REV_10\3&11583659&2&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Cannon Lake-H/S - PCI Express Root Port #17 [B0]

"Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #17 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #17 [B0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:27:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A340&SUBSYS_00000060&REV_F0"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #17 - A340"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A340&SUBSYS_863E103C&REV_F0\3&11583659&2&D8"
"Location Paths","PCIROOT(0)#PCI(1B00)"

PCI Express x4 Bus #2


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
