
LENOVO-PC

"Computer Name:","LENOVO-PC"
"Current Memory Clock:","798.2 MHz (8 : 1 ratio)"
"Current Timing (tCAS-tRCD-tRP-tRAS):","11-11-11-28"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","1T"
"Read to Read Delay (tRD_RD) Same Rank:","4T"
"Read to Read Delay (tRD_RD) Different Rank:","6T"
"Read to Read Delay (tRD_RD) Different DIMM:","6T"
"Write to Write Delay (tWR_WR) Same Rank:","4T"
"Write to Write Delay (tWR_WR) Different Rank:","7T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","11T"
"Read to Write Delay (tRD_WR) Different Rank:","11T"
"Read to Write Delay (tRD_WR) Different DIMM:","11T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","20T"
"Write to Read Delay (tWR_RD) Different Rank:","4T"
"Write to Read Delay (tWR_RD) Different DIMM:","4T"
"Read to Precharge Delay (tRTP):","6T"
"Write to Precharge Delay (tWTP):","24T"
"Write Recovery Time (tWR):","23T"
"RAS# to RAS# Delay (tRRD):","5T"
"Refresh Cycle Time (tRFC):","208T"
"Four Activate Window (tFAW):","24T"

Row: 0 - 4 GB PC3-12800 DDR3 SDRAM Micron Tech. 8KTF51264HZ-1G6E1

"Module Number:","0"
"Module Size:","4 GBytes"
"Memory Type:","DDR3 SDRAM"
"Module Type:","SO-DIMM"
"Memory Speed:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Module Manufacturer:","Micron Tech."
"Module Part Number:","8KTF51264HZ-1G6E1"
"Module Revision:","12613"
"Module Serial Number:","3082713613"
"Module Manufacturing Date:","Year: 2014, Week: 41"
"Module Manufacturing Location:","15"
"SDRAM Manufacturer:","Micron Tech."
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Number Of Banks:","8"
"Module Density:","4096 Mb"
"Number Of Ranks:","1"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Module Nominal Voltage (VDD):","1.5 V, 1.35 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"CAS# Latencies Supported:","5, 6, 7, 8, 9, 10, 11"
"Minimum CAS# Latency Time (tAAmin):","13.125 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Supported Module Timing at 800.0 MHz:","11-11-11-28"
"Supported Module Timing at 666.7 MHz:","9-9-9-24"
"Supported Module Timing at 533.3 MHz:","7-7-7-19"
"Supported Module Timing at 400.0 MHz:","6-6-6-14"
"Supported Module Timing at 333.3 MHz:","5-5-5-12"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","260.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","Not Supported"
"On-die Thermal Sensor (ODTS) Readout:","Not Supported"
"Auto Self Refresh (ASR):","Supported"
"Extended Temperature 1X Refresh Rate:","Not Supported"
"Extended Temperature Range:","Supported"
"Module Temperature Sensor:","Not Supported"
"Pseudo Target Row Refresh (pTRR):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"

Row: 2 - 4 GB PC3-12800 DDR3 SDRAM Micron Tech. 8KTF51264HZ-1G6E1

"Module Number:","2"
"Module Size:","4 GBytes"
"Memory Type:","DDR3 SDRAM"
"Module Type:","SO-DIMM"
"Memory Speed:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Module Manufacturer:","Micron Tech."
"Module Part Number:","8KTF51264HZ-1G6E1"
"Module Revision:","12613"
"Module Serial Number:","3099490829"
"Module Manufacturing Date:","Year: 2014, Week: 41"
"Module Manufacturing Location:","15"
"SDRAM Manufacturer:","Micron Tech."
"Error Check/Correction:","None"
"Row Address Bits:","16"
"Column Address Bits:","10"
"Number Of Banks:","8"
"Module Density:","4096 Mb"
"Number Of Ranks:","1"
"Device Width:","8 bits"
"Bus Width:","64 bits"
"Module Nominal Voltage (VDD):","1.5 V, 1.35 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"CAS# Latencies Supported:","5, 6, 7, 8, 9, 10, 11"
"Minimum CAS# Latency Time (tAAmin):","13.125 ns"
"Minimum RAS# to CAS# Delay (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Supported Module Timing at 800.0 MHz:","11-11-11-28"
"Supported Module Timing at 666.7 MHz:","9-9-9-24"
"Supported Module Timing at 533.3 MHz:","7-7-7-19"
"Supported Module Timing at 400.0 MHz:","6-6-6-14"
"Supported Module Timing at 333.3 MHz:","5-5-5-12"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","260.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","Not Supported"
"On-die Thermal Sensor (ODTS) Readout:","Not Supported"
"Auto Self Refresh (ASR):","Supported"
"Extended Temperature 1X Refresh Rate:","Not Supported"
"Extended Temperature Range:","Supported"
"Module Temperature Sensor:","Not Supported"
"Pseudo Target Row Refresh (pTRR):","Not Supported"
"Module Nominal Height:","29 - 30 mm"
"Module Maximum Thickness (Front):","1 - 2 mm"
"Module Maximum Thickness (Back):","1 - 2 mm"

Bus


PCI Bus #0


Intel Haswell-DT - Host Bridge/DRAM Controller

"Device Name:","Intel Haswell-DT - Host Bridge/DRAM Controller"
"Original Device Name:","Intel Haswell-DT - Host Bridge/DRAM Controller"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_0C00&SUBSYS_369C17AA&REV_06"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard host CPU bridge"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_0C00&SUBSYS_369C17AA&REV_06\3&11583659&1&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Haswell-DT - PCI Express x16 Controller

"Device Name:","Intel Haswell-DT - PCI Express x16 Controller"
"Original Device Name:","Intel Haswell-DT - PCI Express x16 Controller"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","0:1:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_0C01&SUBSYS_00000000&REV_06"
"Version:","2.0"
"Maximum Link Width:","8x"
"Current Link Width:","4x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","75.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","128 - 256 ns"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express standard Root Port"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_0C01&SUBSYS_369C17AA&REV_06\3&11583659&1&08"
"Location Paths","PCIROOT(0)#PCI(0100)"

PCI Express x8 Bus #1


NVIDIA GeForce 840A [Lenovo]

"Device Name:","NVIDIA GeForce 840A [Lenovo]"
"Original Device Name:","NVIDIA GeForce GT 840M (GM108M)"
"Device Class:","3D Adapter"
"Revision ID:","A2"
"PCI Address (Bus:Device:Function) Number:","1:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10DE&DEV_1341&SUBSYS_369C17AA&REV_A2"
"Version:","2.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","F6000000"
"Memory Base Address 1","E0000000"
"Memory Base Address 3","F0000000"
"I/O Base Address 5","EF80"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce 840A  "
"Driver Provider:","NVIDIA"
"Driver Version:","9.18.13.3292 (GeForce 332.92)"
"Driver Date:","27-Mar-2014"
"DCH/UWD Driver:","Not Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1341&SUBSYS_369C17AA&REV_A2\4&64C6AD1&0&0008"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0000)"

Intel Haswell-DT GT2 - Integrated Graphics Controller

"Device Name:","Intel Haswell-DT GT2 - Integrated Graphics Controller"
"Original Device Name:","Intel Haswell-DT GT2 - Integrated Graphics Controller"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_0412&SUBSYS_369C17AA&REV_06"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","F7400000"
"Memory Base Address 2","D0000000"
"I/O Base Address 4","F000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) HD Graphics 4600"
"Driver Provider:","Intel Corporation"
"Driver Version:","10.18.10.3496"
"Driver Date:","11-Mar-2014"
"DCH/UWD Driver:","Not Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_0412&SUBSYS_369C17AA&REV_06\3&11583659&1&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C2]

"Device Name:","Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C2]"
"Original Device Name:","Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C2]"
"Device Class:","USB xHCI Controller"
"Revision ID:","5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C31&SUBSYS_369C17AA&REV_05"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","F7C00000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.0"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17393"
"Driver Date:","06-Oct-2014"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C31&SUBSYS_369C17AA&REV_05\3&11583659&1&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : USB Composite Device

"Device Manufacturer:","Lite-On Technology Corp."
"Product Name:","Lenovo silver silk (wireless) 2.4G K&M kit"
"Serial Number:","N/A"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_17EF&PID_6032"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_6032\5&E2016&0&2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(2)"

[Port3] : No Device Connected


[Port4] : USB Composite Device

"Device Manufacturer:","-"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_2149&PID_5CF9"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_2149&PID_5CF9\5&E2016&0&4"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(4)"

[Port5] : Realtek Bluetooth 4.0 Adapter

"Device Manufacturer:","RealTek"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","3.00 (Connected to a USB 2.00 Port)"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Realtek Bluetooth 4.0 Adapter"
"Hardware ID:","USB\VID_0BDA&PID_0821"
"Driver Manufacturer:","Realtek Semiconductor Corp."
"Driver Description:","Realtek Bluetooth 4.0 Adapter"
"Driver Provider:","Realtek Semiconductor Corp."
"Driver Version:","1.3.810.3"
"Driver Date:","24-Feb-2014"
"DeviceInstanceId","USB\VID_0BDA&PID_0821\00E04C000001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.00 (Connected to a USB 2.00 Port)"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.16384"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : USB Input Device

"Device Manufacturer:","Microsoft "
"Product Name:","Microsoft Basic Optical Mouse v2.0 "
"Serial Number:","N/A"
"USB Version Supported:","1.10"
"USB Device Speed:","USB 1.1 Low-speed"
"Driver Description:","USB Input Device"
"Hardware ID:","USB\VID_045E&PID_00CB"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","USB Input Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17041"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_045E&PID_00CB\5&E2016&0&9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port10] : Generic USB Hub

"Device Manufacturer:","Lite-On Technology"
"Product Name:","USB 1.1 2port downstream low power hub"
"Serial Number:","N/A"
"USB Version Supported:","1.10"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Generic USB Hub"
"Hardware ID:","USB\VID_04B3&PID_301A"
"Driver Manufacturer:","(Standard USB HUBs)"
"Driver Description:","Generic USB Hub"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17731"
"Driver Date:","16-Mar-2015"
"DeviceInstanceId","USB\VID_04B3&PID_301A\5&E2016&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port1] : USB Composite Device

"Device Manufacturer:","Lite-On Technology"
"Product Name:","USB Productivity Option Keyboard( has the hub in # 1 )"
"Serial Number:","N/A"
"USB Version Supported:","1.10"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_04B3&PID_301B"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_04B3&PID_301B\6&27674ED7&0&1"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port11] : Device General Failure


[Port12] : Device General Failure


[Port13] : Device General Failure


[Port14] : Device General Failure


[Port15] : Device General Failure


[Port16] : No Device Connected


[Port17] : No Device Connected


Intel Lynx Point PCH - Host Embedded Controller Interface 1 (HECI1) [C1/C2]

"Device Name:","Intel Lynx Point PCH - Host Embedded Controller Interface 1 (HECI1) [C1/C2]"
"Original Device Name:","Intel Lynx Point PCH - Host Embedded Controller Interface 1 (HECI1) [C1/C2]"
"Device Class:","Other Communication Device"
"Revision ID:","4 [C1/C2]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C3A&SUBSYS_369C17AA&REV_04"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","F7C1D000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","10.0.0.1126"
"Driver Date:","03-Feb-2014"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C3A&SUBSYS_369C17AA&REV_04\3&11583659&1&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #2 [C2]

"Device Name:","Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #2 [C2]"
"Original Device Name:","Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #2 [C2]"
"Device Class:","USB EHCI Controller"
"Revision ID:","5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:26:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C2D&SUBSYS_369C17AA&REV_05"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","F7C1B000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","2.0"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) 8 Series/C220 Series USB EHCI #2 - 8C2D"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C2D&SUBSYS_369C17AA&REV_05\3&11583659&1&D0"
"Location Paths","PCIROOT(0)#PCI(1A00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Device Manufacturer:","Intel"
"Product Name:","Intel Integrated Rate Matching Hub"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","Generic USB Hub"
"Hardware ID:","USB\VID_8087&PID_8008"
"Driver Manufacturer:","(Generic USB Hub)"
"Driver Description:","Generic USB Hub"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_8008\5&1CD15E&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port2] : No Device Connected


Intel Lynx Point PCH - High Definition Audio Controller [C2]

"Device Name:","Intel Lynx Point PCH - High Definition Audio Controller [C2]"
"Original Device Name:","Intel Lynx Point PCH - High Definition Audio Controller [C2]"
"Device Class:","High Definition Audio"
"Revision ID:","5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:27:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C20&SUBSYS_369C17AA&REV_05"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","IRQ22"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FEAF8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Microsoft"
"Driver Description:","High Definition Audio Controller"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","23-Jul-2014"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C20&SUBSYS_369C17AA&REV_05\3&11583659&1&D8"
"Location Paths","PCIROOT(0)#PCI(1B00)"

Intel Lynx Point PCH - PCI Express Root Port 1 [C2]

"Device Name:","Intel Lynx Point PCH - PCI Express Root Port 1 [C2]"
"Original Device Name:","Intel Lynx Point PCH - PCI Express Root Port 1 [C2]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","D5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:28:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C10&SUBSYS_00000000&REV_D5"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","Not negotiated"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express standard Root Port"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C10&SUBSYS_369C17AA&REV_D5\3&11583659&1&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #2


Intel Lynx Point PCH - PCI Express Root Port 3 [C2]

"Device Name:","Intel Lynx Point PCH - PCI Express Root Port 3 [C2]"
"Original Device Name:","Intel Lynx Point PCH - PCI Express Root Port 3 [C2]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","D5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:28:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C14&SUBSYS_00000000&REV_D5"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTC#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express standard Root Port"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C14&SUBSYS_369C17AA&REV_D5\3&11583659&1&E2"
"Location Paths","PCIROOT(0)#PCI(1C02)"

PCI Express x1 Bus #3


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Device Name:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Original Device Name:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Device Class:","Ethernet Adapter"
"Revision ID:","C"
"PCI Address (Bus:Device:Function) Number:","3:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10EC&DEV_8168&SUBSYS_369C17AA&REV_0C"
"Version:","1.1"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"I/O Base Address 0","D000"
"Memory Base Address 2","F7B00000"
"Memory Base Address 4","F2100000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Realtek"
"Driver Description:","Realtek PCIe GBE Family Controller"
"Driver Provider:","Realtek"
"Driver Version:","8.20.815.2013"
"Driver Date:","15-Aug-2013"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_369C17AA&REV_0C\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C02)#PCI(0000)"

Intel Lynx Point PCH - PCI Express Root Port 4 [C2]

"Device Name:","Intel Lynx Point PCH - PCI Express Root Port 4 [C2]"
