
DESKTOP-MKCPKTI

"Computer Name:","DESKTOP-MKCPKTI"
"Platform Trust Technology (PTT):","Disabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Corporate SKU Firmware"
"Platform Brand:","Intel AMT"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memory

"Total Memory Size:","16 GBytes"
"Total Memory Size [MB]:","16384"
"Maximum Supported Memory Clock:","1200.0 MHz"
"Current Memory Clock:","1196.8 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","17-17-17-39"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","2T"
"Read to Read Delay (tRD_RD) Same Rank:","6T"
"Read to Read Delay (tRD_RD) Different Rank:","4T"
"Read to Read Delay (tRD_RD) Different DIMM:","7T"
"Write to Write Delay (tWR_WR) Same Rank:","6T"
"Write to Write Delay (tWR_WR) Different Rank:","4T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","9T"
"Read to Write Delay (tRD_WR) Different Rank:","9T"
"Read to Write Delay (tRD_WR) Different DIMM:","11T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","30T"
"Write to Read Delay (tWR_RD) Different Rank:","24T"
"Write to Read Delay (tWR_RD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","6T"
"Refresh Cycle Time (tRFC):","420T"
"Four Activate Window (tFAW):","26T"

Bus


PCI Bus #0


Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [V0]

"Device Name:","Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [V0]"
"Original Device Name:","Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [V0]"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","C [V0]"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3E34&SUBSYS_857F103C&REV_0C"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Host Bridge/DRAM Registers - 3E34"
"Driver Provider:","INTEL"
"Driver Version:","10.1.14.7"
"DeviceInstanceId","PCI\VEN_8086&DEV_3E34&SUBSYS_857F103C&REV_0C\3&11583659&2&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics 620 (Whiskey Lake-U GT2) - Integrated Graphics Controller

"Device Name:","Intel UHD Graphics 620 (Whiskey Lake-U GT2) - Integrated Graphics Controller"
"Original Device Name:","Intel UHD Graphics 620 (Whiskey Lake-U GT2) - Integrated Graphics Controller"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","2"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3EA0&SUBSYS_857F103C&REV_02"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","DF000000"
"Memory Base Address 2","A0000000"
"I/O Base Address 4","3000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 620"
"Driver Provider:","Intel Corporation"
"Driver Version:","25.20.100.6617"
"Driver Date:","07-Mar-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_3EA0&SUBSYS_857F103C&REV_02\3&11583659&2&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","C"
"PCI Address (Bus:Device:Function) Number:","0:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1903&SUBSYS_857F103C&REV_0C"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFED8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Dynamic Platform and Thermal Framework Processor Participant"
"Driver Provider:","Intel"
"Driver Version:","8.5.10103.7263"
"Driver Date:","11-Dec-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_1903&SUBSYS_857F103C&REV_0C\3&11583659&2&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Cannon Lake-LP - Thermal Subsystem [B1]

"Device Name:","Intel Cannon Lake-LP - Thermal Subsystem [B1]"
"Original Device Name:","Intel Cannon Lake-LP - Thermal Subsystem [B1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:18:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DF9&SUBSYS_857F103C&REV_11"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","404A113000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Thermal Subsystem - 9DF9"
"Driver Provider:","INTEL"
"Driver Version:","10.1.15.5"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DF9&SUBSYS_857F103C&REV_11\3&11583659&2&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Cannon Lake-LP - Integrated Sensor Hub [B1]

"Device Name:","Intel Cannon Lake-LP - Integrated Sensor Hub [B1]"
"Original Device Name:","Intel Cannon Lake-LP - Integrated Sensor Hub [B1]"
"Device Class:","RS-232 Serial Port"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:19:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DFC&SUBSYS_857F103C&REV_11"
"Interrupt Line:","IRQ20"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFEEA000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Integrated Sensor Solution"
"Driver Provider:","Intel"
"Driver Version:","3.1.0.3920"
"Driver Date:","16-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DFC&SUBSYS_857F103C&REV_11\3&11583659&2&98"
"Location Paths","PCIROOT(0)#PCI(1300)"

Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [B1]

"Device Name:","Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [B1]"
"Original Device Name:","Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [B1]"
"Device Class:","USB xHCI Controller"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DED&SUBSYS_857F103C&REV_11"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFEF0000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.592"
"Driver Date:","14-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DED&SUBSYS_857F103C&REV_11\3&11583659&2&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : Synaptics VFS7552 Touch Fingerprint Sensor with PurePrint(TM)

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics VFS7552 Touch Fingerprint Sensor with PurePrint(TM)"
"Hardware ID:","USB\VID_06CB&PID_00B7"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics VFS7552 Touch Fingerprint Sensor with PurePrint(TM)"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","5.5.16.1099"
"Driver Date:","17-Mar-2019"
"DeviceInstanceId","USB\VID_06CB&PID_00B7\02A2B4866409"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port9] : USB Composite Device

"Device Manufacturer:","Chicony"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_04F2&PID_B671"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F2&PID_B671\200901010001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port10] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0029"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.0.1.5"
"Driver Date:","27-Mar-2019"
"DeviceInstanceId","USB\VID_8087&PID_0029\5&2CF704FE&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Cannon Lake-LP - Shared SRAM [B1]

"Device Name:","Intel Cannon Lake-LP - Shared SRAM [B1]"
"Original Device Name:","Intel Cannon Lake-LP - Shared SRAM [B1]"
"Device Class:","RAM/Memory Controller"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DEF&SUBSYS_857F103C&REV_11"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","E0212000"
"Memory Base Address 2","404A112000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard RAM Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DEF&SUBSYS_857F103C&REV_11\3&11583659&2&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Cannon Lake-LP - LPSS: I2C Controller #0 [B1]

"Device Name:","Intel Cannon Lake-LP - LPSS: I2C Controller #0 [B1]"
"Original Device Name:","Intel Cannon Lake-LP - LPSS: I2C Controller #0 [B1]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DE8&SUBSYS_857F103C&REV_11"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9DE8"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1841.2"
"Driver Date:","07-Oct-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE8&SUBSYS_857F103C&REV_11\3&11583659&2&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Cannon Lake-LP - LPSS: I2C Controller #1 [B1]

"Device Name:","Intel Cannon Lake-LP - LPSS: I2C Controller #1 [B1]"
"Original Device Name:","Intel Cannon Lake-LP - LPSS: I2C Controller #1 [B1]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:21:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DE9&SUBSYS_857F103C&REV_11"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","7FFFEE8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9DE9"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1841.2"
"Driver Date:","07-Oct-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE9&SUBSYS_857F103C&REV_11\3&11583659&2&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Cannon Lake-LP - HECI #1 [B1]

"Device Name:","Intel Cannon Lake-LP - HECI #1 [B1]"
"Original Device Name:","Intel Cannon Lake-LP - HECI #1 [B1]"
"Device Class:","Other Communication Device"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DE0&SUBSYS_857F103C&REV_11"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFEE7000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1904.12.0.1208"
"Driver Date:","20-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE0&SUBSYS_857F103C&REV_11\3&11583659&2&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Cannon Lake-LP - Keyboard and Text (KT) Redirection [B1]

"Device Name:","Intel Cannon Lake-LP - Keyboard and Text (KT) Redirection [B1]"
"Original Device Name:","Intel Cannon Lake-LP - Keyboard and Text (KT) Redirection [B1]"
"Device Class:","RS-232 Serial Port"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:22:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DE3&SUBSYS_857F103C&REV_11"
"Interrupt Line:","IRQ19"
"Interrupt Pin:","INTD#"
"I/O Base Address 0","FFF8"
"Memory Base Address 1","FE1FF000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Active Management Technology - SOL"
"Driver Provider:","Intel"
"Driver Version:","1843.12.0.1169"
"Driver Date:","22-Oct-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE3&SUBSYS_857F103C&REV_11\3&11583659&2&B3"
"Location Paths","PCIROOT(0)#PCI(1603)"

Intel Cannon Lake-LP - SATA AHCI Controller [B1]

"Device Name:","Intel Cannon Lake-LP - SATA AHCI Controller [B1]"
"Original Device Name:","Intel Cannon Lake-LP - SATA AHCI Controller [B1]"
"Device Class:","SATA AHCI Controller"
"Revision ID:","11 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:23:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DD3&SUBSYS_857F103C&REV_11"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","E0210000"
"Memory Base Address 1","E0216000"
"I/O Base Address 2","3080"
"I/O Base Address 3","3090"
"I/O Base Address 4","3060"
"Memory Base Address 5","E0215000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Capable"
"Fast Back-to-Back Transactions:","Capable"
"Interface Speed Supported:","Gen3 6.0 Gbps"
"Number Of Ports:","1"
"External SATA Support:","Not Capable"
"Aggressive Link Power Management:","Capable"
"Staggered Spin-up:","Not Capable"
"Mechanical Presence Switch:","Not Capable"
"Command Queue Acceleration:","Capable"
"64-bit Addressing:","Capable"
"AHCI Status:","Enabled"
"AHCI Version:","1.31"
"Ports Implemented:","2"
"Port Status:","Device Present, Phy communication established"
"Current Interface Speed:","Gen3 6.0 Gbps"
"External SATA Port:","Not Capable"
"Hot Plug:","Not Capable"
"Device Type:","SATA"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) 300 Series Chipset Family SATA AHCI Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","17.2.8.1029"
"Driver Date:","26-Mar-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DD3&SUBSYS_857F103C&REV_11\3&11583659&2&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Cannon Lake-LP - PCI Express Root Port #3 [B1]

"Device Name:","Intel Cannon Lake-LP - PCI Express Root Port #3 [B1]"
"Original Device Name:","Intel Cannon Lake-LP - PCI Express Root Port #3 [B1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:28:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DBA&SUBSYS_00000000&REV_F1"
"Version:","1.1"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTC#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #3 - 9DBA"
"Driver Provider:","INTEL"
"Driver Version:","10.1.15.5"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DBA&SUBSYS_857F103C&REV_F1\3&11583659&2&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #1


Intel, Device ID: 7560

"Device Name:","Intel, Device ID: 7560"
"Original Device Name:","Intel, Device ID: 7560"
"Device Class:","Cellular Controller/Modem"
"Revision ID:","1"
"PCI Address (Bus:Device:Function) Number:","1:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_7560&SUBSYS_8507103C&REV_01"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","128 - 256 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","E01FF000"
"Memory Base Address 2","E01FEF00"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","HP Inc."
"Driver Description:","Intel(R) XMM(TM) 7560 LTE-Advanced Pro (Cat16)"
"Driver Provider:","HP Inc."
"Driver Version:","0.5.100.241"
"Driver Date:","01-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_7560&SUBSYS_8507103C&REV_01\4&33A429D8&0&00E0"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Intel Cannon Lake-LP - PCI Express Root Port #5 [B1]

"Device Name:","Intel Cannon Lake-LP - PCI Express Root Port #5 [B1]"
"Original Device Name:","Intel Cannon Lake-LP - PCI Express Root Port #5 [B1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [B1]"
"PCI Address (Bus:Device:Function) Number:","0:28:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DBC&SUBSYS_00000040&REV_F1"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #5 - 9DBC"
"Driver Provider:","INTEL"
"Driver Version:","10.1.15.5"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DBC&SUBSYS_857F103C&REV_F1\3&11583659&2&E4"
"Location Paths","PCIROOT(0)#PCI(1C04)"

PCI Express x4 Bus #2


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","2:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000040&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Upstream Port of PCI Express Switch"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","1 - 2 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Upstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.475"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_857F103C&REV_06\UCACD8C4043B7D00000"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

PCI Express x4 Bus #3


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","3:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.475"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_857F103C&REV_06\CACD8C4043B7D00000"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)#PCI(0000)"

PCI Express x4 Bus #4


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","3:1:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000040&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
