
DESKTOP-R4BUFME

"Computer Name:","DESKTOP-R4BUFME"
Memory Array Mapped Address

"Starting Address:","00000000"
"Ending Address:","00FFFFFF"
"Partition Width:","2"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","8192 MBytes"
"Device Form Factor:","Row of chips"
"Device Locator:","Motherboard"
"Bank Locator:","BANK 0"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2667 MHz"
"Manufacturer:","Micron"
"Serial Number:","00000000"
"Part Number:","4ATS1G64HZ-2G3E1    "
"Asset Tag:","9876543210"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","8192 MBytes"
"Device Form Factor:","Row of chips"
"Device Locator:","Motherboard"
"Bank Locator:","BANK 2"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2667 MHz"
"Manufacturer:","Micron"
"Serial Number:","00000000"
"Part Number:","4ATS1G64HZ-2G3E1    "
"Asset Tag:","9876543210"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","1"
"Interleave Data Depth:","1"

Memory Device Mapped Address

"Starting Address:","00800000"
"Ending Address:","00FFFFFF"
"Partition Row Position:","1"
"Interleave Position:","2"
"Interleave Data Depth:","1"

System Slots


J6B2

"Slot Designation:","J6B2"
"Slot Type:","PCI Express"
"Slot Usage:","Empty"
"Slot Data Bus Width:","16x / x16"
"Slot Length:","Long"

J6B1

"Slot Designation:","J6B1"
"Slot Type:","PCI Express"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Short"

J6D1

"Slot Designation:","J6D1"
"Slot Type:","PCI Express"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Short"

J7B1

"Slot Designation:","J7B1"
"Slot Type:","PCI Express"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Short"

J8B4

"Slot Designation:","J8B4"
"Slot Type:","PCI Express"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Short"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Enabled"
"Boot Guard Measured Boot Policy:","Enabled"
"Intel ME Version:","12.0, Build 1427, Hot Fix 35"
"Intel ME Recovery Image Version:","12.0, Build 1427, Hot Fix 35"
"Intel ME FITC Version:","12.0, Build 1117, Hot Fix 5"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Not Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Enabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Enabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Disabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Enabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memory

"Total Memory Size:","16 GBytes"
"Total Memory Size [MB]:","16384"
"Maximum Supported Memory Clock:","1200.0 MHz"
"Current Memory Clock:","665.0 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","10-10-10-28"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","1T"
"Read to Read Delay (tRD_RD) Same Rank:","4T"
"Read to Read Delay (tRD_RD) Different Rank:","4T"
"Read to Read Delay (tRD_RD) Different DIMM:","7T"
"Write to Write Delay (tWR_WR) Same Rank:","4T"
"Write to Write Delay (tWR_WR) Different Rank:","4T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","8T"
"Read to Write Delay (tRD_WR) Different Rank:","8T"
"Read to Write Delay (tRD_WR) Different DIMM:","10T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","19T"
"Write to Read Delay (tWR_RD) Different Rank:","16T"
"Write to Read Delay (tWR_RD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","4T"
"Refresh Cycle Time (tRFC):","234T"
"Four Activate Window (tFAW):","16T"

Bus


PCI Bus #0


Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [W0]

"Device Name:","Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [W0]"
"Original Device Name:","Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [W0]"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","B [W0]"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3E34&SUBSYS_08941028&REV_0B"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) HOST and DRAM Controller - 3E34"
"Driver Provider:","INTEL"
"Driver Version:","10.1.14.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_3E34&SUBSYS_08941028&REV_0B\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics 620 (Whiskey Lake-U GT2) - Integrated Graphics Controller

"Device Name:","Intel UHD Graphics 620 (Whiskey Lake-U GT2) - Integrated Graphics Controller"
"Original Device Name:","Intel UHD Graphics 620 (Whiskey Lake-U GT2) - Integrated Graphics Controller"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3EA0&SUBSYS_08941028&REV_00"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A0000000"
"Memory Base Address 2","90000000"
"I/O Base Address 4","3000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 620"
"Driver Provider:","Intel Corporation"
"Driver Version:","25.20.100.6581"
"Driver Date:","27-Feb-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_3EA0&SUBSYS_08941028&REV_00\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","B"
"PCI Address (Bus:Device:Function) Number:","0:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1903&SUBSYS_08941028&REV_0B"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0E8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Dynamic Platform and Thermal Framework Processor Participant"
"Driver Provider:","Intel"
"Driver Version:","8.4.11000.6436"
"Driver Date:","26-Apr-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_1903&SUBSYS_08941028&REV_0B\3&11583659&0&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Device Class:","Unknown Peripheral Device"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","0:8:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1911&SUBSYS_08941028&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A11B3000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Gaussian Mixture Model - 1911"
"Driver Provider:","INTEL"
"Driver Version:","10.1.7.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_1911&SUBSYS_08941028&REV_00\3&11583659&0&40"
"Location Paths","PCIROOT(0)#PCI(0800)"

Intel Cannon Lake-LP - Thermal Subsystem [D0]

"Device Name:","Intel Cannon Lake-LP - Thermal Subsystem [D0]"
"Original Device Name:","Intel Cannon Lake-LP - Thermal Subsystem [D0]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:18:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DF9&SUBSYS_08941028&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A11B2000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Thermal Subsystem - 9DF9"
"Driver Provider:","INTEL"
"Driver Version:","10.1.15.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DF9&SUBSYS_08941028&REV_30\3&11583659&0&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Cannon Lake-LP - Integrated Sensor Hub [D0]

"Device Name:","Intel Cannon Lake-LP - Integrated Sensor Hub [D0]"
"Original Device Name:","Intel Cannon Lake-LP - Integrated Sensor Hub [D0]"
"Device Class:","RS-232 Serial Port"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:19:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DFC&SUBSYS_08941028&REV_30"
"Interrupt Line:","IRQ20"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0F6000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Integrated Sensor Solution"
"Driver Provider:","Intel"
"Driver Version:","3.1.0.3723"
"Driver Date:","17-May-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DFC&SUBSYS_08941028&REV_30\3&11583659&0&98"
"Location Paths","PCIROOT(0)#PCI(1300)"

Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [D0]

"Device Name:","Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [D0]"
"Original Device Name:","Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [D0]"
"Device Class:","USB xHCI Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DED&SUBSYS_08941028&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A1180000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","18-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DED&SUBSYS_08941028&REV_30\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : Goodix fingerprint

"Device Manufacturer:","-"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Goodix fingerprint"
"Hardware ID:","USB\VID_27C6&PID_538C"
"Driver Manufacturer:","Goodix"
"Driver Description:","Goodix fingerprint"
"Driver Provider:","Goodix"
"Driver Version:","3.1.34.200"
"Driver Date:","27-Jun-2018"
"DeviceInstanceId","USB\VID_27C6&PID_538C\5&20FCD7A4&0&5"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : USB Composite Device

"Device Manufacturer:","RealTek"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_0BDA&PID_5538"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0BDA&PID_5538\200901010001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0AAA"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","20.60.1.1"
"Driver Date:","04-Jun-2018"
"DeviceInstanceId","USB\VID_8087&PID_0AAA\5&20FCD7A4&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.0 SuperSpeed"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(16)"

[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Cannon Lake-LP - Shared SRAM [D0]

"Device Name:","Intel Cannon Lake-LP - Shared SRAM [D0]"
"Original Device Name:","Intel Cannon Lake-LP - Shared SRAM [D0]"
"Device Class:","RAM/Memory Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DEF&SUBSYS_08941028&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","A11A8000"
"Memory Base Address 2","A11B1000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard RAM Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.267"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DEF&SUBSYS_08941028&REV_30\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Cannon Lake-LP - Wireless-AC 9560 (CNVi: WiFi (sku 0)) [D0]

"Device Name:","Intel Cannon Lake-LP - Wireless-AC 9560 (CNVi: WiFi (sku 0)) [D0]"
"Original Device Name:","Intel Cannon Lake-LP - Wireless-AC 9560 (CNVi: WiFi (sku 0)) [D0]"
"Device Class:","Other Network Adapter"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:20:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DF0&SUBSYS_42348086&REV_30"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0F8000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless-AC 9560"
"Driver Provider:","Intel"
"Driver Version:","21.20.1.1"
"Driver Date:","29-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DF0&SUBSYS_42348086&REV_30\3&11583659&0&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

Intel Cannon Lake-LP - LPSS: I2C Controller #0 [D0]

"Device Name:","Intel Cannon Lake-LP - LPSS: I2C Controller #0 [D0]"
"Original Device Name:","Intel Cannon Lake-LP - LPSS: I2C Controller #0 [D0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DE8&SUBSYS_08941028&REV_30"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0F3000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9DE8"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1816.3"
"Driver Date:","16-Apr-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE8&SUBSYS_08941028&REV_30\3&11583659&0&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Cannon Lake-LP - LPSS: I2C Controller #1 [D0]

"Device Name:","Intel Cannon Lake-LP - LPSS: I2C Controller #1 [D0]"
"Original Device Name:","Intel Cannon Lake-LP - LPSS: I2C Controller #1 [D0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:21:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DE9&SUBSYS_08941028&REV_30"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9DE9"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1816.3"
"Driver Date:","16-Apr-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE9&SUBSYS_08941028&REV_30\3&11583659&0&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Cannon Lake-LP - HECI #1 [D0]

"Device Name:","Intel Cannon Lake-LP - HECI #1 [D0]"
"Original Device Name:","Intel Cannon Lake-LP - HECI #1 [D0]"
"Device Class:","Other Communication Device"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DE0&SUBSYS_08941028&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0F5000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1815.12.0.2021"
"Driver Date:","10-Apr-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE0&SUBSYS_08941028&REV_30\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel HM170/QM170 PCH - SATA RAID (RST) Controller [D0]

"Device Name:","Intel HM170/QM170 PCH - SATA RAID (RST) Controller [D0]"
"Original Device Name:","Intel HM170/QM170 PCH - SATA RAID (RST) Controller [D0]"
"Device Class:","RAID controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:23:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_282A&SUBSYS_08941028&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A1190000"
"Memory Base Address 1","A11AD000"
"I/O Base Address 2","3090"
"I/O Base Address 3","3080"
"I/O Base Address 4","3060"
"Memory Base Address 5","A1100000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Capable"
"Fast Back-to-Back Transactions:","Capable"
"Interface Speed Supported:","Gen2 3.0 Gbps"
"Number Of Ports:","16"
"External SATA Support:","Not Capable"
"Aggressive Link Power Management:","Capable"
"Staggered Spin-up:","Not Capable"
"Mechanical Presence Switch:","Not Capable"
"Command Queue Acceleration:","Capable"
"64-bit Addressing:","Capable"
"AHCI Status:","Enabled"
"AHCI Version:","1.31"
"Ports Implemented:",""
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Chipset SATA/PCIe RST Premium Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","17.2.11.1033"
"Driver Date:","06-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_282A&SUBSYS_08941028&REV_30\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Cannon Lake-U PCH - LPC Controller/eSPI Controller [D0/D1]

"Device Name:","Intel Cannon Lake-U PCH - LPC Controller/eSPI Controller [D0/D1]"
"Original Device Name:","Intel Cannon Lake-U PCH - LPC Controller/eSPI Controller [D0/D1]"
"Device Class:","PCI-to-ISA Bridge"
"Revision ID:","30 [D0/D1]"
"PCI Address (Bus:Device:Function) Number:","0:31:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D84&SUBSYS_08941028&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","I/O LPC Controller - 9D84 for mobile 8th Gen Intel(R) Core(TM) processor family"
"Driver Provider:","INTEL"
"Driver Version:","10.1.15.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D84&SUBSYS_08941028&REV_30\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [D0]

"Device Name:","Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [D0]"
"Original Device Name:","Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [D0]"
"Device Class:","High Definition Audio"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:31:3"
"PCI Latency Timer:","32"
"Hardware ID:","PCI\VEN_8086&DEV_9DC8&SUBSYS_08941028&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0FC000"
"Memory Base Address 4","FE100000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel(R) Corporation"
"Driver Description:","Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller"
"Driver Provider:","Intel(R) Corporation"
"Driver Version:","10.23.0.2214"
"Driver Date:","03-Dec-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DC8&SUBSYS_08941028&REV_30\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Cannon Lake-LP - SMBus Host Controller [D0]

"Device Name:","Intel Cannon Lake-LP - SMBus Host Controller [D0]"
"Original Device Name:","Intel Cannon Lake-LP - SMBus Host Controller [D0]"
"Device Class:","SMBus (System Management Bus)"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:31:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9DA3&SUBSYS_08941028&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A11AC000"
"I/O Base Address 4","EFA0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) SMBus - 9DA3"
"Driver Provider:","INTEL"
"Driver Version:","10.1.15.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DA3&SUBSYS_08941028&REV_30\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Intel Cannon Lake-LP - SPI (flash) Controller [D0]

"Device Name:","Intel Cannon Lake-LP - SPI (flash) Controller [D0]"
"Original Device Name:","Intel Cannon Lake-LP - SPI (flash) Controller [D0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","30 [D0]"
