
LAPTOP-3S3IK491

"Computer Name:","LAPTOP-3S3IK491"
"Internal Connector Type:","On Board IDE"
"External Reference:","OnBoard Primary IDE"
"External Connector Type:","None"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Microphone In"
"External Connector Type:","Mini-jack (headphones)"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Line In"
"External Connector Type:","Mini-jack (headphones)"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Speaker Out"
"External Connector Type:","Mini-jack (headphones)"

System Slots


J6C1

"Slot Designation:","J6C1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J6D2

"Slot Designation:","J6D2"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J7C1

"Slot Designation:","J7C1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J7D1

"Slot Designation:","J7D1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J8C1

"Slot Designation:","J8C1"
"Slot Type:","PCI Express x4"
"Slot Usage:","Empty"
"Slot Data Bus Width:","4x / x4"
"Slot Length:","Unknown"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Disabled"
"Boot Guard Measured Boot Policy:","Disabled"
"Intel ME Version:","13.0, Build 1085"
"Intel ME Recovery Image Version:","13.0, Build 1085"
"Intel ME FITC Version:","13.0, Build 1085"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Not Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Enabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Disabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Enabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Enabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memory

"Total Memory Size:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Maximum Supported Memory Clock:","1866.7 MHz"
"Current Memory Clock:","532.0 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","20-20-20-45"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","1T"
"Read to Read Delay (tRD_RD) Same Rank:","8T"
"Read to Read Delay (tRD_RD) Different Rank:","8T"
"Read to Read Delay (tRD_RD) Different DIMM:","18T"
"Write to Write Delay (tWR_WR) Same Rank:","8T"
"Write to Write Delay (tWR_WR) Different Rank:","8T"
"Write to Write Delay (tWR_WR) Different DIMM:","20T"
"Read to Write Delay (tRD_WR) Same Rank:","22T"
"Read to Write Delay (tRD_WR) Different Rank:","22T"
"Read to Write Delay (tRD_WR) Different DIMM:","22T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","40T"
"Write to Read Delay (tWR_RD) Different Rank:","40T"
"Write to Read Delay (tWR_RD) Different DIMM:","12T"
"RAS# to RAS# Delay (tRRD):","11T"
"Refresh Cycle Time (tRFC):","299T"
"Four Activate Window (tFAW):","43T"

Bus


PCI Bus #0


Intel Ice Lake-U - Host Bridge/DRAM Controller [D0]

"Device Name:","Intel Ice Lake-U - Host Bridge/DRAM Controller [D0]"
"Original Device Name:","Intel Ice Lake-U - Host Bridge/DRAM Controller [D0]"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","3 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8A12&SUBSYS_380217AA&REV_03"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard host CPU bridge"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.267"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8A12&SUBSYS_380217AA&REV_03\3&11583659&1&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Ice Lake-U GT2 64EU - Integrated Graphics Controller

"Device Name:","Intel Ice Lake-U GT2 64EU - Integrated Graphics Controller"
"Original Device Name:","Intel Ice Lake-U GT2 64EU - Integrated Graphics Controller"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","7"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8A52&SUBSYS_3FF217AA&REV_07"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","601C000000"
"Memory Base Address 2","4000000000"
"I/O Base Address 4","3000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Iris(R) Plus Graphics"
"Driver Provider:","Intel Corporation"
"Driver Version:","25.20.100.7007"
"Driver Date:","15-Jul-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_8A52&SUBSYS_3FF217AA&REV_07\3&11583659&1&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Ice Lake - Dynamic Platform & Thermal Framework Processor Participant

"Device Name:","Intel Ice Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Original Device Name:","Intel Ice Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","3"
"PCI Address (Bus:Device:Function) Number:","0:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8A03&SUBSYS_380117AA&REV_03"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","601D150000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Dynamic Tuning Processor Participant"
"Driver Provider:","Intel"
"Driver Version:","8.6.10401.9906"
"Driver Date:","14-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_8A03&SUBSYS_380117AA&REV_03\3&11583659&1&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Ice Lake - Integrated Thunderbolt PCI Express 0

"Device Name:","Intel Ice Lake - Integrated Thunderbolt PCI Express 0"
"Original Device Name:","Intel Ice Lake - Integrated Thunderbolt PCI Express 0"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","3"
"PCI Address (Bus:Device:Function) Number:","0:7:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8A1D&SUBSYS_00000060&REV_03"
"Version:","1.1"
"Maximum Link Width:","4x"
"Current Link Width:","Not negotiated"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Root Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.418"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8A1D&SUBSYS_381217AA&REV_03\3&11583659&1&38"
"Location Paths","PCIROOT(0)#PCI(0700)"

PCI Express x4 Bus #1


Intel Ice Lake - USB 3.0 xHCI Host Controller

"Device Name:","Intel Ice Lake - USB 3.0 xHCI Host Controller"
"Original Device Name:","Intel Ice Lake - USB 3.0 xHCI Host Controller"
"Device Class:","USB xHCI Controller"
"Revision ID:","3"
"PCI Address (Bus:Device:Function) Number:","0:13:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8A13&SUBSYS_380317AA&REV_03"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","601D140000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","19-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_8A13&SUBSYS_380317AA&REV_03\3&11583659&1&68"
"Location Paths","PCIROOT(0)#PCI(0D00)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.1 SuperSpeedPlus"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.387"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(0D00)#USBROOT(0)#USB(2)"

[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


Intel Ice Lake - Integrated Thunderbolt DMA 1

"Device Name:","Intel Ice Lake - Integrated Thunderbolt DMA 1"
"Original Device Name:","Intel Ice Lake - Integrated Thunderbolt DMA 1"
"Device Class:","Unknown Peripheral Device"
"Revision ID:","3"
"PCI Address (Bus:Device:Function) Number:","0:13:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8A17&SUBSYS_00000000&REV_03"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","601D100000"
"Memory Base Address 2","601D171000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel(R) Corporation"
"Driver Description:","Thunderbolt(TM) Controller - 8A17"
"Driver Provider:","Intel(R) Corporation"
"Driver Version:","1.41.648.5"
"Driver Date:","12-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_8A17&SUBSYS_00000000&REV_03\3&11583659&1&6A"
"Location Paths","PCIROOT(0)#PCI(0D02)"

Intel Ice Lake-U/Y PCH-LP - Integrated Sensor Hub [D0]

"Device Name:","Intel Ice Lake-U/Y PCH-LP - Integrated Sensor Hub [D0]"
"Original Device Name:","Intel Ice Lake-U/Y PCH-LP - Integrated Sensor Hub [D0]"
"Device Class:","RS-232 Serial Port"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:18:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_34FC&SUBSYS_380617AA&REV_30"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","601D16A000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Integrated Sensor Solution"
"Driver Provider:","Intel"
"Driver Version:","3.1.0.4024"
"Driver Date:","02-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_34FC&SUBSYS_380617AA&REV_30\3&11583659&1&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Ice Lake-U/Y PCH-LP - USB 3.2 Gen 2x1 (10 Gb/s) xHCI Host Controller [D0]

"Device Name:","Intel Ice Lake-U/Y PCH-LP - USB 3.2 Gen 2x1 (10 Gb/s) xHCI Host Controller [D0]"
"Original Device Name:","Intel Ice Lake-U/Y PCH-LP - USB 3.2 Gen 2x1 (10 Gb/s) xHCI Host Controller [D0]"
"Device Class:","USB xHCI Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_34ED&SUBSYS_380717AA&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","52300000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","19-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_34ED&SUBSYS_380717AA&REV_30\3&11583659&1&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : USB Composite Device

"Device Manufacturer:","Azurewave"
"Product Name:","Integrated Camera"
"Serial Number:","200901010001"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_13D3&PID_56BA"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_13D3&PID_56BA\200901010001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0AAA"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.10.1.1"
"Driver Date:","17-Apr-2019"
"DeviceInstanceId","USB\VID_8087&PID_0AAA\5&4782102&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Ice Lake-U/Y PCH-LP - Shared SRAM [D0]

"Device Name:","Intel Ice Lake-U/Y PCH-LP - Shared SRAM [D0]"
"Original Device Name:","Intel Ice Lake-U/Y PCH-LP - Shared SRAM [D0]"
"Device Class:","RAM/Memory Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_34EF&SUBSYS_380817AA&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","601D168000"
"Memory Base Address 2","601D170000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard RAM Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.267"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_34EF&SUBSYS_380817AA&REV_30\3&11583659&1&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Ice Lake-U/Y PCH-LP - Wi-Fi [D0]

"Device Name:","Intel Ice Lake-U/Y PCH-LP - Wi-Fi [D0]"
"Original Device Name:","Intel Ice Lake-U/Y PCH-LP - Wi-Fi [D0]"
"Device Class:","Other Network Adapter"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:20:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_34F0&SUBSYS_00348086&REV_30"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","601D164000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless-AC 9560 160MHz"
"Driver Provider:","Intel"
"Driver Version:","21.30.3.2"
"Driver Date:","07-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_34F0&SUBSYS_00348086&REV_30\3&11583659&1&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

Intel Ice Lake-U/Y PCH-LP - I2C Controller #0 [D0]

"Device Name:","Intel Ice Lake-U/Y PCH-LP - I2C Controller #0 [D0]"
"Original Device Name:","Intel Ice Lake-U/Y PCH-LP - I2C Controller #0 [D0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_34E8&SUBSYS_380A17AA&REV_30"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 34E8"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1916.1"
"Driver Date:","15-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_34E8&SUBSYS_380A17AA&REV_30\3&11583659&1&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Ice Lake-U/Y PCH-LP - I2C Controller #1 [D0]

"Device Name:","Intel Ice Lake-U/Y PCH-LP - I2C Controller #1 [D0]"
"Original Device Name:","Intel Ice Lake-U/Y PCH-LP - I2C Controller #1 [D0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:21:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_34E9&SUBSYS_380B17AA&REV_30"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","7FFFEFA000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 34E9"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1916.1"
"Driver Date:","15-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_34E9&SUBSYS_380B17AA&REV_30\3&11583659&1&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Ice Lake-U/Y PCH-LP - Intel ME: HECI #1 [D0]

"Device Name:","Intel Ice Lake-U/Y PCH-LP - Intel ME: HECI #1 [D0]"
"Original Device Name:","Intel Ice Lake-U/Y PCH-LP - Intel ME: HECI #1 [D0]"
"Device Class:","Other Communication Device"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_34E0&SUBSYS_380D17AA&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFEFB000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1910.13.0.1060"
"Driver Date:","04-Mar-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_34E0&SUBSYS_380D17AA&REV_30\3&11583659&1&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Ice Lake-U/Y PCH-LP - PCI Express Root Port #13

"Device Name:","Intel Ice Lake-U/Y PCH-LP - PCI Express Root Port #13"
"Original Device Name:","Intel Ice Lake-U/Y PCH-LP - PCI Express Root Port #13"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","30"
"PCI Address (Bus:Device:Function) Number:","0:29:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_34B4&SUBSYS_00000000&REV_30"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #13 - 34B4"
"Driver Provider:","INTEL"
"Driver Version:","10.1.12.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_34B4&SUBSYS_380117AA&REV_30\3&11583659&1&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

PCI Express x4 Bus #43


Samsung NVMe PCIe SSD Controller

"Device Name:","Samsung NVMe PCIe SSD Controller"
"Original Device Name:","Samsung Electronics NVMe PCIe SSD Controller"
"Device Class:","NVMe Controller"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","43:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_144D&DEV_A808&SUBSYS_A801144D&REV_00"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","52200000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Standard NVM Express Controller"
"Driver Description:","Standard NVM Express Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_144D&DEV_A808&SUBSYS_A801144D&REV_00\4&31A21649&0&00E8"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Intel Ice Lake-U PCH-LP Premium - eSPI Controller [D0]

"Device Name:","Intel Ice Lake-U PCH-LP Premium - eSPI Controller [D0]"
"Original Device Name:","Intel Ice Lake-U PCH-LP Premium - eSPI Controller [D0]"
"Device Class:","PCI-to-ISA Bridge"
"Revision ID:","30 [D0]"
"PCI Address (Bus:Device:Function) Number:","0:31:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_3482&SUBSYS_380F17AA&REV_30"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","I/O LPC Controller (U Premium) - 3482 for Intel(R) 495 Series Chipset Family On-Package Platform Controller Hub"
"Driver Provider:","INTEL"
"Driver Version:","10.1.12.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_3482&SUBSYS_380F17AA&REV_30\3&11583659&1&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Ice Lake-U/Y PCH-LP - cAVS (Audio, Voice, Speech) [D0]

"Device Name:","Intel Ice Lake-U/Y PCH-LP - cAVS (Audio, Voice, Speech) [D0]"
