
DESKTOP-71E3E3M

"Computer Name:","DESKTOP-71E3E3M"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A2"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

Network Port

"Port Type:","Network Port"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","Network"
"External Connector Type:","RJ-45"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9G2"
"Internal Connector Type:","On Board Floppy"
"External Reference:","OnBoard Floppy Type"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J7J1"
"Internal Connector Type:","On Board IDE"
"External Reference:","OnBoard Primary IDE"
"External Connector Type:","None"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Microphone In"
"External Connector Type:","Mini-jack (headphones)"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Line In"
"External Connector Type:","Mini-jack (headphones)"

Audio Port

"Port Type:","Audio Port"
"Internal Reference:","J30"
"Internal Connector Type:","None"
"External Reference:","Speaker Out"
"External Connector Type:","Mini-jack (headphones)"

System Slots


J6C1

"Slot Designation:","J6C1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J6D2

"Slot Designation:","J6D2"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J7C1

"Slot Designation:","J7C1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J7D1

"Slot Designation:","J7D1"
"Slot Type:","PCI Express x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Unknown"

J8C1

"Slot Designation:","J8C1"
"Slot Type:","PCI Express x4"
"Slot Usage:","In use"
"Slot Data Bus Width:","4x / x4"
"Slot Length:","Unknown"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Enabled"
"Boot Guard Measured Boot Policy:","Disabled"
"Intel ME Version:","11.8, Build 3460, Hot Fix 50"
"Intel ME Recovery Image Version:","11.8, Build 3460, Hot Fix 50"
"Intel ME FITC Version:","11.8, Build 3434, Hot Fix 50"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Not Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Not Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Not Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Disabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Disabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Disabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Enabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Disabled"

Intel ICC

"Clock Usage:","BCLK/DMI/PEG/PCIe/SATA/USB3"
"Current Frequency:","100.000 MHz"
"User Frequency:","100.000 MHz"
"Minimum Frequency:","99.500 MHz"
"Maximum Frequency:","100.000 MHz"
"SSC Mode:","Down, 0.47%"
"Spread Supported:","Down"
"Change Allowed:","Not Supported"
"Halt Allowed:","Not Supported"
"Clock Source:","PCIe"
"Clock Usage:","Not Used"
"Current Frequency:","100.000 MHz"
"User Frequency:","100.000 MHz"
"Minimum Frequency:","99.500 MHz"
"Maximum Frequency:","100.000 MHz"
"SSC Mode:","Down, 0.47%"
"Spread Supported:","Down"
"Change Allowed:","Not Supported"
"Halt Allowed:","Not Supported"
"Clock Source:","PCIe"

Memory

"Total Memory Size:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Maximum Supported Memory Clock:","1200.0 MHz"
"Current Memory Clock:","665.2 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","10-10-10-28"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","1T"
"Read to Read Delay (tRD_RD) Same Rank:","4T"
"Read to Read Delay (tRD_RD) Different Rank:","4T"
"Read to Read Delay (tRD_RD) Different DIMM:","7T"
"Write to Write Delay (tWR_WR) Same Rank:","4T"
"Write to Write Delay (tWR_WR) Different Rank:","4T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","8T"
"Read to Write Delay (tRD_WR) Different Rank:","8T"
"Read to Write Delay (tRD_WR) Different DIMM:","10T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","19T"
"Write to Read Delay (tWR_RD) Different Rank:","16T"
"Write to Read Delay (tWR_RD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","5T"
"Refresh Cycle Time (tRFC):","234T"
"Four Activate Window (tFAW):","20T"

Bus


PCI Bus #0


Intel Kaby Lake R U - Host Bridge/DRAM Controller [Y0]

"Device Name:","Intel Kaby Lake R U - Host Bridge/DRAM Controller [Y0]"
"Original Device Name:","Intel Kaby Lake R U - Host Bridge/DRAM Controller [Y0]"
"Device Class:","Host-to-PCI Bridge"
"Revision ID:","8 [Y0]"
"PCI Address (Bus:Device:Function) Number:","0:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_5914&SUBSYS_382117AA&REV_08"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) Host Bridge/DRAM Registers - 5914"
"Driver Provider:","INTEL"
"Driver Version:","10.1.10.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_5914&SUBSYS_382117AA&REV_08\3&11583659&1&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics 620 (Kaby Lake R U GT2) - Integrated Graphics Controller [Y0]

"Device Name:","Intel UHD Graphics 620 (Kaby Lake R U GT2) - Integrated Graphics Controller [Y0]"
"Original Device Name:","Intel UHD Graphics 620 (Kaby Lake R U GT2) - Integrated Graphics Controller [Y0]"
"Device Class:","VGA Compatible Adapter"
"Revision ID:","7 [Y0]"
"PCI Address (Bus:Device:Function) Number:","0:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_5917&SUBSYS_380317AA&REV_07"
"Version:","1.1"
"Current Link Width:","Not negotiated"
"Device/Port Type:","Root Complex Integrated Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","2FFA000000"
"Memory Base Address 2","2FA0000000"
"I/O Base Address 4","3000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 620"
"Driver Provider:","Intel Corporation"
"Driver Version:","26.20.100.7212"
"Driver Date:","12-Sep-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_5917&SUBSYS_380317AA&REV_07\3&11583659&1&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant

"Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Original Device Name:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","8"
"PCI Address (Bus:Device:Function) Number:","0:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_1903&SUBSYS_381C17AA&REV_08"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","2FFB010000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Dynamic Platform and Thermal Framework Processor Participant"
"Driver Provider:","Intel"
"Driver Version:","8.4.11000.6436"
"Driver Date:","27-Apr-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_1903&SUBSYS_381C17AA&REV_08\3&11583659&1&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Skylake-U/Y PCH - USB 3.0 xHCI Controller  [C1]

"Device Name:","Intel Skylake-U/Y PCH - USB 3.0 xHCI Controller  [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - USB 3.0 xHCI Controller  [C1]"
"Device Class:","USB xHCI Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:20:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D2F&SUBSYS_386A17AA&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","6E300000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","3.0"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.592"
"Driver Date:","15-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D2F&SUBSYS_386A17AA&REV_21\3&11583659&1&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : USB Composite Device

"Device Manufacturer:","-"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_5986&PID_2115"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_5986&PID_2115\5&2794E3A8&0&1"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : Synaptics WBDI - SGX

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics WBDI - SGX"
"Hardware ID:","USB\VID_06CB&PID_0081"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics WBDI - SGX"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","5.5.2808.1050"
"Driver Date:","24-Jul-2018"
"DeviceInstanceId","USB\VID_06CB&PID_0081\7007A480B6DC"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0025"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","20.70.0.4"
"Driver Date:","05-Jul-2018"
"DeviceInstanceId","USB\VID_8087&PID_0025\5&2794E3A8&0&8"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Skylake/Kaby Lake-U/Y PCH - Thermal Subsystem [C1]

"Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - Thermal Subsystem [C1]"
"Original Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - Thermal Subsystem [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:20:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D31&SUBSYS_385A17AA&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTC#"
"Memory Base Address 0","2FFB022000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O Thermal subsystem - 9D31"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D31&SUBSYS_385A17AA&REV_21\3&11583659&1&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Skylake-U/Y PCH - LPSS: I2C Controller #0 [C1]

"Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #0 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #0 [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:21:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D60&SUBSYS_385F17AA&REV_21"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","2FFFFFB000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9D60"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1823.1"
"Driver Date:","05-Jun-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D60&SUBSYS_385F17AA&REV_21\3&11583659&1&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Skylake-U/Y PCH - LPSS: I2C Controller #1 [C1]

"Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #1 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #1 [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:21:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D61&SUBSYS_385717AA&REV_21"
"Interrupt Line:","IRQ17"
"Interrupt Pin:","INTB#"
"Memory Base Address 0","2FFFFFC000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9D61"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1823.1"
"Driver Date:","05-Jun-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D61&SUBSYS_385717AA&REV_21\3&11583659&1&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Skylake-U/Y PCH - LPSS: I2C Controller #3 [C1]

"Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #3 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - LPSS: I2C Controller #3 [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:21:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D63&SUBSYS_380917AA&REV_21"
"Interrupt Line:","IRQ19"
"Interrupt Pin:","INTD#"
"Memory Base Address 0","2FFFFFD000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO I2C Host Controller - 9D63"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1823.1"
"Driver Date:","05-Jun-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D63&SUBSYS_380917AA&REV_21\3&11583659&1&AB"
"Location Paths","PCIROOT(0)#PCI(1503)"

Intel Skylake-U/Y PCH - CSME: HECI #1 [C1]

"Device Name:","Intel Skylake-U/Y PCH - CSME: HECI #1 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - CSME: HECI #1 [C1]"
"Device Class:","Other Communication Device"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:22:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D3A&SUBSYS_386817AA&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","2FFFFFE000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) Management Engine Interface "
"Driver Provider:","Intel"
"Driver Version:","1815.12.0.2021"
"Driver Date:","11-Apr-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D3A&SUBSYS_386817AA&REV_21\3&11583659&1&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Skylake-U/Y PCH - LPSS: UART Controller #2 [C1]

"Device Name:","Intel Skylake-U/Y PCH - LPSS: UART Controller #2 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - LPSS: UART Controller #2 [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:25:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D66&SUBSYS_381017AA&REV_21"
"Interrupt Line:","IRQ32"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","2FFFFFF000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO UART Host Controller - 9D66"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1823.1"
"Driver Date:","05-Jun-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D66&SUBSYS_381017AA&REV_21\3&11583659&1&C8"
"Location Paths","PCIROOT(0)#PCI(1900)"

Intel Skylake-U/Y PCH - PCI Express Root Port #1 [A1/C1]

"Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #1 [A1/C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #1 [A1/C1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [A1/C1]"
"PCI Address (Bus:Device:Function) Number:","0:28:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D10&SUBSYS_0000002F&REV_F1"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PCI Express Root Port #1 - 9D10"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D10&SUBSYS_384F17AA&REV_F1\3&11583659&1&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x4 Bus #1


Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]

"Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Original Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","2"
"PCI Address (Bus:Device:Function) Number:","1:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15D3&SUBSYS_0000002F&REV_02"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Upstream Port of PCI Express Switch"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","1 - 2 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Upstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.802"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15D3&SUBSYS_00000000&REV_02\U6E6AC449B2B7D00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

PCI Express x4 Bus #2


Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]

"Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Original Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","2"
"PCI Address (Bus:Device:Function) Number:","2:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15D3&SUBSYS_00000000&REV_02"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","1 - 2 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.802"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15D3&SUBSYS_00000000&REV_02\6E6AC449B2B7D00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#PCI(0000)"

PCI Express x4 Bus #3


Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]

"Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Original Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","2"
"PCI Address (Bus:Device:Function) Number:","2:1:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15D3&SUBSYS_0000002F&REV_02"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","1 - 2 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.802"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15D3&SUBSYS_00000000&REV_02\6E6AC449B2B7D00008"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#PCI(0100)"

PCI Express x4 Bus #4


Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]

